,names_to_use,GS,genus,phylum,class,order,family,Life_style,trophicMode
1,Abortiporus biennis,39.14,Abortiporus,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Facultative association,Patotroph
2,Abortiporus biennis,39.14,Abortiporus,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Facultative association,Patotroph
3,Abortiporus biennis,39.14,Abortiporus,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Facultative association,Patotroph
4,Absidia caerulea,44.4,Absidia,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,NA,NA
5,Absidia glauca,48.75,Absidia,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,NA,NA
6,Absidia glauca,48.75,Absidia,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,NA,NA
7,Absidia glauca,48.75,Absidia,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,NA,NA
8,Absidia repens,47.42,Absidia,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,NA,NA
9,Acaromyces ingoldii,19.33,Acaromyces,Basidiomycota,Exobasidiomycetes,Not assigned,Not assigned,NA,NA
10,Acaulopage tetraceros,11.18,Acaulopage,Zoopagomycota,Zoopagomycetes,Zoopagales,Zoopagaceae,NA,NA
11,Acephala macrosclerotiorum,73.68,Acephala,Ascomycota,Leotiomycetes,Helotiales,Vibrisseaceae,NA,NA
12,Aciculoconidium aculeatum,18.24,Aciculoconidium,Ascomycota,Saccharomycetes,Saccharomycetales,Not assigned,NA,NA
13,Acidothrix acidophila,37.77,Acidothrix,Ascomycota,Sordariomycetes,Amplistromatales,Amplistromataceae,NA,NA
14,Acremonium chrysogenum,28.58,Acremonium,Ascomycota,Sordariomycetes,Hypocreales,Not assigned,NA,NA
15,Acrocalymma vagum,56.17,Acrocalymma,Ascomycota,Dothideomycetes,Pleosporales,Acrocalymmaceae,NA,NA
16,Actidium hysterioides,30.97,Actidium,Ascomycota,Dothideomycetes,Mytilinidiales,Mytilinidiaceae,NA,NA
17,Actinomucor elegans,34.17,Actinomucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
18,Actinomucor elegans,34.17,Actinomucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
19,Actinomucor elegans,34.17,Actinomucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
20,Actinomucor elegans,34.17,Actinomucor,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,NA,NA
21,Adelphella babingtonii,43.13,Adelphella,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,NA,NA
22,Agaricus bisporus,31.8,Agaricus,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,AFree living,Saprotroph
23,Agrocybe pediades,45.1,Agrocybe,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,NA,NA
24,Agrocybe praecox,46.41,Agrocybe,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,NA,NA
25,Ajellomyces capsulatus,25.33,Ajellomyces,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,B_Opportunistic association,Pathotroph
26,Ajellomyces capsulatus,25.33,Ajellomyces,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,B_Opportunistic association,Pathotroph
27,Ajellomyces capsulatus,25.33,Ajellomyces,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,B_Opportunistic association,Pathotroph
28,Ajellomyces capsulatus,25.33,Ajellomyces,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,B_Opportunistic association,Pathotroph
29,Ajellomyces crescens,32.99,Ajellomyces,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,NA,NA
30,Akanthomyces lecanii,35.32333333,Akanthomyces,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,NA,NA
31,Albatrellus ellisii,122.76,Albatrellus,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,NA,NA
32,Albertiniella polyporicola,29.26,Albertiniella,Ascomycota,Sordariomycetes,Not assigned,Cephalothecaceae,NA,NA
33,Albonectria rigidiuscula,53.69,Albonectria,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Facultative association,Pathotroph-Symbiotroph
34,Albonectria rigidiuscula,53.69,Albonectria,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Facultative association,Pathotroph-Symbiotroph
