State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Acacia alpina,native,Acacia alpina F.Muell.,Acacia alpina,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia aspera subsp. aspera,native,Acacia aspera Lindl. subsp. aspera,Acacia aspera subsp. aspera,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia baileyana,introduced,Acacia baileyana F.Muell.,Acacia baileyana,naturalised,F.Muell.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Acacia baileyana x Acacia decurrens,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Acacia boormanii,introduced,Acacia boormanii Maiden,Acacia boormanii,naturalised,Maiden,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Acacia buxifolia subsp. buxifolia,native,Acacia buxifolia A.Cunn. subsp. buxifolia,Acacia buxifolia subsp. buxifolia,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia cardiophylla,doubtfully naturalised,Acacia cardiophylla A.Cunn. ex Benth.,Acacia cardiophylla,doubtfully naturalised,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Acacia cultriformis,introduced,Acacia cultriformis A.Cunn. ex G.Don,Acacia cultriformis,doubtfully naturalised,A.Cunn. ex G.Don,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Acacia dawsonii,native colonising,Acacia dawsonii R.T.Baker,Acacia dawsonii,native,R.T.Baker,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Acacia dealbata,native,Acacia dealbata Link,Acacia dealbata,native,Link,accepted,Similar for the state flora and the APC,native,native,native
