State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Abelmoschus ficulneus (L.) Wight & Arn. ex Wight,Abelmoschus ficulneus,native,Abelmoschus ficulneus (L.) Wight,Abelmoschus ficulneus,native,(L.) Wight,accepted,Similar for the state flora and the APC,native,native,native
Abelmoschus manihot (L.) Medik.,Abelmoschus manihot,native,Abelmoschus manihot (L.) Medik.,Abelmoschus manihot,native,(L.) Medik.,accepted,Similar for the state flora and the APC,native,native,native
Abelmoschus moschatus Medik.,Abelmoschus moschatus,native,Abelmoschus moschatus Medik.,Abelmoschus moschatus,native,Medik.,accepted,Similar for the state flora and the APC,native,native,native
Abelmoschus moschatus Medik. subsp. tuberosus (Span.) Borss.Waalk.,Abelmoschus moschatus subsp. tuberosus,native,Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,Abelmoschus moschatus subsp. tuberosus,native,(Span.) Borss.Waalk.,accepted,Similar for the state flora and the APC,native,native,native
Abildgaardia ovata (Burm.f.) Kral,Abildgaardia ovata,native,Abildgaardia ovata (Burm.f.) Kral,Abildgaardia ovata,native,(Burm.f.) Kral,accepted,Similar for the state flora and the APC,native,native,native
Abildgaardia vaginata R.Br.,Abildgaardia vaginata,native,Abildgaardia vaginata R.Br.,Abildgaardia vaginata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,Abrodictyum obscurum,native,Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,Abrodictyum obscurum,native,(Blume) Ebihara & K.Iwats.,accepted,Similar for the state flora and the APC,native,native,native
Abrus precatorius L.,Abrus precatorius,native,Abrus precatorius L.,Abrus precatorius,native,L.,accepted,Similar for the state flora and the APC,native,native,native
Abrus precatorius L. subsp. precatorius,Abrus precatorius subsp. precatorius,native,Abrus precatorius L. subsp. precatorius,Abrus precatorius subsp. precatorius,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon cryptopetalum,native,Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon cryptopetalum,native,(F.Muell.) F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon fraseri (Hook.) Walp.,Abutilon fraseri,native,Abutilon fraseri (Hook.) Walp.,Abutilon fraseri,native,(Hook.) Walp.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon fraseri (Hook.) Walp. subsp. fraseri,Abutilon fraseri subsp. fraseri,native,Abutilon fraseri (Hook.) Walp. subsp. fraseri,Abutilon fraseri subsp. fraseri,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Abutilon halophilum F.Muell.,Abutilon halophilum,native,Abutilon halophilum F.Muell. ex Schltdl.,Abutilon halophilum,native,F.Muell. ex Schltdl.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon hannii Baker f.,Abutilon hannii,native,Abutilon hannii Baker f.,Abutilon hannii,native,Baker f.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon hannii Baker f. subsp. erect (J.Russell-Smith 7032),Abutilon hannii subsp. erect,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abutilon hannii Baker f. subsp. prostrate (P.K.Latz 427),Abutilon hannii subsp. prostrate,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abutilon indicum (L.) Sweet,Abutilon indicum,native,Abutilon indicum (L.) Sweet,Abutilon indicum,native,(L.) Sweet,accepted,Similar for the state flora and the APC,native,native,native
Abutilon indicum (L.) Sweet var. australiense Hochr. ex Britten,Abutilon indicum var. australiense,native,Abutilon indicum var. australiense Hochr. ex Britten,Abutilon indicum var. australiense,NA,Hochr. ex Britten,accepted,Not recorded on the APC as present in this state,native,native,native
Abutilon lepidum (F.Muell.) A.S.Mitch.,Abutilon lepidum,native,Abutilon lepidum (F.Muell.) A.S.Mitch.,Abutilon lepidum,native,(F.Muell.) A.S.Mitch.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon leucopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon leucopetalum,native,Abutilon leucopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon leucopetalum,native,(F.Muell.) F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon macrum F.Muell.,Abutilon macrum,native,Abutilon macrum F.Muell.,Abutilon macrum,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
