State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Abelmoschus ficulneus (L.) Wight & Arn. ex Wight,Abelmoschus ficulneus,native,Abelmoschus ficulneus (L.) Wight,Abelmoschus ficulneus,native,(L.) Wight,accepted,Similar for the state flora and the APC,native,native,native
Abelmoschus manihot (L.) Medik.,Abelmoschus manihot,naturalised,Abelmoschus manihot (L.) Medik.,Abelmoschus manihot,naturalised,(L.) Medik.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Abelmoschus manihot (L.) Medik. subsp. manihot,Abelmoschus manihot subsp. manihot,naturalised,Abelmoschus manihot (L.) Medik. subsp. manihot,Abelmoschus manihot subsp. manihot,naturalised,NA,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Abelmoschus manihot subsp. tetraphyllus (Roxb. ex Hornem.) Borss.Waalk.,Abelmoschus manihot subsp. tetraphyllus,naturalised,Abelmoschus manihot subsp. tetraphyllus (Roxb. ex Hornem.) Borss.Waalk.,Abelmoschus manihot subsp. tetraphyllus,naturalised,(Roxb. ex Hornem.) Borss.Waalk.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Abelmoschus moschatus Medik.,Abelmoschus moschatus,native,Abelmoschus moschatus Medik.,Abelmoschus moschatus,native,Medik.,accepted,Similar for the state flora and the APC,native,native,native
Abelmoschus moschatus Medik. subsp. moschatus,Abelmoschus moschatus subsp. moschatus,naturalised,Abelmoschus moschatus Medik. subsp. moschatus,Abelmoschus moschatus subsp. moschatus,NA,NA,accepted,Not recorded on the APC as present in this state,naturalised,introduced,established
Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,Abelmoschus moschatus subsp. tuberosus,native,Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,Abelmoschus moschatus subsp. tuberosus,native,(Span.) Borss.Waalk.,accepted,Similar for the state flora and the APC,native,native,native
Abildgaardia macrantha (Boeckeler) Goetgh.,Abildgaardia macrantha,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abildgaardia odontocarpa (S.T.Blake) K.L.Wilson & J.J.Bruhl,Abildgaardia odontocarpa,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abildgaardia ovata (Burm.f.) Kral,Abildgaardia ovata,native,Abildgaardia ovata (Burm.f.) Kral,Abildgaardia ovata,native,(Burm.f.) Kral,accepted,Similar for the state flora and the APC,native,native,native
Abildgaardia oxystachya (F.Muell.) K.L.Wilson & J.J.Bruhl,Abildgaardia oxystachya,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abildgaardia pachyptera (S.T.Blake) K.L.Wilson & J.J.Bruhl,Abildgaardia pachyptera,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abildgaardia schoenoides R.Br.,Abildgaardia schoenoides,native,Fimbristylis squarrulosa F.Muell.,Fimbristylis squarrulosa,native,F.Muell.,taxonomic synonym,Similar for the state flora and the APC,native,native,native
Abrodictyum brassii (Croxall) Ebihara & K.Iwats.,Abrodictyum brassii,native,Abrodictyum brassii (Croxall) Ebihara & K.Iwats.,Abrodictyum brassii,native,(Croxall) Ebihara & K.Iwats.,accepted,Similar for the state flora and the APC,native,native,native
Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,Abrodictyum caudatum,native,Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,Abrodictyum caudatum,native,(Brack.) Ebihara & K.Iwats.,accepted,Similar for the state flora and the APC,native,native,native
Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,Abrodictyum obscurum,native,Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,Abrodictyum obscurum,native,(Blume) Ebihara & K.Iwats.,accepted,Similar for the state flora and the APC,native,native,native
Abroma molle DC.,Abroma molle,native,Abroma molle DC.,Abroma molle,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
