State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Abies pinsapo Boiss.,Abies pinsapo,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon cryptopetalum subsp.,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth. subsp. cryptopetalum,Abutilon cryptopetalum subsp. cryptopetalum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth. subsp. Grey leaves (R.Bates 3115) R.M.Barker,Abutilon cryptopetalum subsp. Grey leaves (R.Bates 3115),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abutilon fraseri,Abutilon fraseri subsp.,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abutilon fraseri (Hook.) Hook. ex Walp. subsp. diplotrichum (F.Muell.)R.M.Barker,Abutilon fraseri subsp. diplotrichum,native,Abutilon fraseri subsp. diplotrichum (F.Muell. ex Schltdl.) R.M.Barker,Abutilon fraseri subsp. diplotrichum,native,(F.Muell. ex Schltdl.) R.M.Barker,accepted,Similar for the state flora and the APC,native,native,native
Abutilon fraseri (Hook.) Hook. ex Walp. subsp. fraseri,Abutilon fraseri subsp. fraseri,native,Abutilon fraseri (Hook.) Walp. subsp. fraseri,Abutilon fraseri subsp. fraseri,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Abutilon grandifolium (Willd.)  Sweet,Abutilon grandifolium,introduced,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium,NA,(Willd.) Sweet,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Abutilon halophilum F.Muell. ex Schltdl.,Abutilon halophilum,native,Abutilon halophilum F.Muell. ex Schltdl.,Abutilon halophilum,native,F.Muell. ex Schltdl.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon leucopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon leucopetalum,native,Abutilon leucopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon leucopetalum,native,(F.Muell.) F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon macrum F.Muell.,Abutilon macrum,native,Abutilon macrum F.Muell.,Abutilon macrum,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon malvaefolium (Benth.) J.M.Black,Abutilon malvaefolium,native,Abutilon malvifolium (Benth.) J.M.Black,Abutilon malvifolium,native,(Benth.) J.M.Black,NA,Similar for the state flora and the APC,native,native,native
Abutilon otocarpum F.Muell.,Abutilon otocarpum,native,Abutilon otocarpum F.Muell.,Abutilon otocarpum,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon oxycarpum,Abutilon oxycarpum var.,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abutilon oxycarpum (F.Muell.) F.Muell. ex Benth. subsp. Prostrate (A.A.Mitchell PRP 1266) WA Herbarium,Abutilon oxycarpum subsp. Prostrate (A.A.Mitchell PRP 1266),native,Abutilon oxycarpum subsp. Prostrate (A.A.Mitchell PRP 1266) WA Herbarium,Abutilon oxycarpum subsp. Prostrate (A.A.Mitchell PRP 1266),NA,WA Herbarium,accepted,Not recorded on the APC as present in this state,native,native,native
Abutilon pictum (Gillies ex Hook. & Arn.) Walp.,Abutilon pictum,introduced,Abutilon pictum (Gillies ex Hook. & Arn.) Walp.,Abutilon pictum,NA,(Gillies ex Hook. & Arn.) Walp.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Abutilon sp. Sentinel Hill (Lang & Canty BS23-28020)  R.M.Barker,Abutilon sp. Sentinel Hill (Lang & Canty BS23-28020),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abutilon theophrasti Medik.,Abutilon theophrasti,introduced,Abutilon theophrasti Medik.,Abutilon theophrasti,naturalised,Medik.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Acacia acanthoclada F.Muell. subsp. acanthoclada,Acacia acanthoclada subsp. acanthoclada,native,Acacia acanthoclada F.Muell. subsp. acanthoclada,Acacia acanthoclada subsp. acanthoclada,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia acinacea Lindl.,Acacia acinacea,native,Acacia acinacea Lindl.,Acacia acinacea,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
