State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Abrotanella forsteroides (Hook.f.) Benth.,Abrotanella forsteroides,native,Abrotanella forsteroides (Hook.f.) Benth.,Abrotanella forsteroides,native,(Hook.f.) Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abrotanella scapigera (F.Muell.) Benth.,Abrotanella scapigera,native,Abrotanella scapigera (F.Muell.) Benth.,Abrotanella scapigera,native,(F.Muell.) Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia acinacea Lindl.,Acacia acinacea,doubtfully introduced,Acacia acinacea Lindl.,Acacia acinacea,NA,Lindl.,accepted,Not recorded on the APC as present in this state,doubtfully introduced,introduced,not enough information to assign degree of establishment
Acacia axillaris Benth.,Acacia axillaris,native,Acacia axillaris Benth.,Acacia axillaris,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia baileyana F.Muell.,Acacia baileyana,introduced,Acacia baileyana F.Muell.,Acacia baileyana,NA,F.Muell.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Acacia dealbata Link subsp. dealbata,Acacia dealbata subsp. dealbata,native,Acacia dealbata Link subsp. dealbata,Acacia dealbata subsp. dealbata,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia decurrens Willd.,Acacia decurrens,introduced,Acacia decurrens Willd.,Acacia decurrens,naturalised,Willd.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Acacia derwentiana A.M.Gray,Acacia derwentiana,native,Acacia derwentiana A.M.Gray,Acacia derwentiana,native,A.M.Gray,accepted,Similar for the state flora and the APC,native,native,native
Acacia floribunda (Vent.) Willd.,Acacia floribunda,introduced,Acacia floribunda (Vent.) Willd.,Acacia floribunda,naturalised,(Vent.) Willd.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Acacia genistifolia Link,Acacia genistifolia,native,Acacia genistifolia Link,Acacia genistifolia,native,Link,accepted,Similar for the state flora and the APC,native,native,native
Acacia gunnii Benth.,Acacia gunnii,native,Acacia gunnii Benth.,Acacia gunnii,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia howittii F.Muell.,Acacia howittii,introduced,Acacia howittii F.Muell.,Acacia howittii,NA,F.Muell.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Acacia leprosa Sieber ex DC. var. graveolens Maslin & D.J.Murphy,Acacia leprosa var. graveolens,native,Acacia leprosa var. graveolens Maslin & D.J.Murphy,Acacia leprosa var. graveolens,native,Maslin & D.J.Murphy,accepted,Similar for the state flora and the APC,native,native,native
Acacia longifolia (Andrews) Willd. f. mucronata (Willd. ex H.L.Wendl.) Benth.,Acacia longifolia f. mucronata,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Acacia longifolia (Andrews) Willd. subsp. longifolia,Acacia longifolia subsp. longifolia,native,Acacia longifolia (Andrews) Willd. subsp. longifolia,Acacia longifolia subsp. longifolia,native,NA,accepted,Similar for the state flora and the APC,native,native,native
