State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,Abrodictyum caudatum,native,Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,Abrodictyum caudatum,native,(Brack.) Ebihara & K.Iwats.,accepted,Similar for the state flora and the APC,native,native,native
Abrotanella nivigena (F.Muell.) F.Muell.,Abrotanella nivigena,native,Abrotanella nivigena (F.Muell.) F.Muell.,Abrotanella nivigena,native,(F.Muell.) F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon fraseri (Hook.) Walp.,Abutilon fraseri,native,Abutilon fraseri (Hook.) Walp.,Abutilon fraseri,native,(Hook.) Walp.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon fraseri subsp. diplotrichum (F.Muell.) R.M.Barker,Abutilon fraseri subsp. diplotrichum,native,Abutilon fraseri subsp. diplotrichum (F.Muell. ex Schltdl.) R.M.Barker,Abutilon fraseri subsp. diplotrichum,native,(F.Muell. ex Schltdl.) R.M.Barker,accepted,Similar for the state flora and the APC,native,native,native
Abutilon fraseri subsp. fraseri NA,Abutilon fraseri subsp. fraseri,native,Abutilon fraseri (Hook.) Walp. subsp. fraseri,Abutilon fraseri subsp. fraseri,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium,introduced,Abutilon grandifolium (Willd.) Sweet,Abutilon grandifolium,doubtfully naturalised,(Willd.) Sweet,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,casual
Abutilon indicum (L.) Sweet,Abutilon indicum,formerly introduced,Abutilon indicum (L.) Sweet,Abutilon indicum,formerly naturalised,(L.) Sweet,accepted,"According to the state flora is formerly introduced, while according to the APC is formerly naturalised",formerly naturalised,introduced,NA
Abutilon malvifolium (Benth.) J.M.Black,Abutilon malvifolium,native,Abutilon malvifolium (Benth.) J.M.Black,Abutilon malvifolium,native,(Benth.) J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Abutilon otocarpum F.Muell.,Abutilon otocarpum,native,Abutilon otocarpum F.Muell.,Abutilon otocarpum,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon oxycarpum (F.Muell.) F.Muell. ex Benth.,Abutilon oxycarpum,native,Abutilon oxycarpum (F.Muell.) F.Muell. ex Benth.,Abutilon oxycarpum,native,(F.Muell.) F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon oxycarpum var. subsagittatum Domin,Abutilon oxycarpum var. subsagittatum,native,Abutilon oxycarpum var. subsagittatum Domin,Abutilon oxycarpum var. subsagittatum,native,Domin,accepted,Similar for the state flora and the APC,native,native,native
Abutilon pictum (Gillies ex Hook. & Arn.) Walp.,Abutilon pictum,naturalised,Abutilon pictum (Gillies ex Hook. & Arn.) Walp.,Abutilon pictum,naturalised,(Gillies ex Hook. & Arn.) Walp.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Abutilon theophrasti Medik.,Abutilon theophrasti,naturalised,Abutilon theophrasti Medik.,Abutilon theophrasti,naturalised,Medik.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Acacia acanthoclada F.Muell.,Acacia acanthoclada,native,Acacia acanthoclada F.Muell.,Acacia acanthoclada,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia acanthoclada subsp. acanthoclada NA,Acacia acanthoclada subsp. acanthoclada,native,Acacia acanthoclada F.Muell. subsp. acanthoclada,Acacia acanthoclada subsp. acanthoclada,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia acinacea Lindl.,Acacia acinacea,native,Acacia acinacea Lindl.,Acacia acinacea,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Acacia aculeatissima J.F.Macbr.  ,Acacia aculeatissima,native,Acacia aculeatissima J.F.Macbr.,Acacia aculeatissima,native,J.F.Macbr.,accepted,Similar for the state flora and the APC,native,native,native
Acacia acuminata Benth.,Acacia acuminata,introduced,Acacia acuminata Benth.,Acacia acuminata,NA,Benth.,accepted,Not recorded on the APC as present in this state,introduced,introduced,casual
Acacia aspera subsp. parviceps N.G.Walsh,Acacia aspera subsp. parviceps,native,Acacia aspera subsp. parviceps N.G.Walsh,Acacia aspera subsp. parviceps,native,N.G.Walsh,accepted,Similar for the state flora and the APC,native,native,native
Acacia dealbata subsp. subalpina Tindale & Kodela,Acacia dealbata subsp. subalpina,native,Acacia dealbata subsp. subalpina Tindale & Kodela,Acacia dealbata subsp. subalpina,native,Tindale & Kodela,accepted,Similar for the state flora and the APC,native,native,native
Acacia alpina F.Muell.,Acacia alpina,native,Acacia alpina F.Muell.,Acacia alpina,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia amoena H.L.Wendl.,Acacia amoena,native,Acacia amoena H.L.Wendl.,Acacia amoena,native,H.L.Wendl.,accepted,Similar for the state flora and the APC,native,native,native
Acacia ancistrophylla C.R.P.Andrews,Acacia ancistrophylla,native,Acacia ancistrophylla C.R.P.Andrews,Acacia ancistrophylla,native,C.R.P.Andrews,accepted,Similar for the state flora and the APC,native,native,native
Acacia ancistrophylla var. lissophylla Cowan & Maslin,Acacia ancistrophylla var. lissophylla,native,Acacia ancistrophylla var. lissophylla (J.M.Black) R.S.Cowan & Maslin,Acacia ancistrophylla var. lissophylla,native,(J.M.Black) R.S.Cowan & Maslin,accepted,Similar for the state flora and the APC,native,native,native
Acacia argyrophylla Hook.,Acacia argyrophylla,native,Acacia argyrophylla Hook.,Acacia argyrophylla,presumed extinct,Hook.,accepted,"According to the state flora is native, while according to the APC is presumed extinct",native,native,native
Acacia paradoxa DC.,Acacia paradoxa,native,Acacia paradoxa DC.,Acacia paradoxa,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Acacia aspera Lindl.,Acacia aspera,native,Acacia aspera Lindl.,Acacia aspera,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Acacia aspera subsp. aspera NA,Acacia aspera subsp. aspera,native,Acacia aspera Lindl. subsp. aspera,Acacia aspera subsp. aspera,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia ausfeldii Regel,Acacia ausfeldii,native,Acacia ausfeldii Regel,Acacia ausfeldii,native,Regel,accepted,Similar for the state flora and the APC,native,native,native
Acacia baileyana F.Muell.,Acacia baileyana,naturalised,Acacia baileyana F.Muell.,Acacia baileyana,naturalised,F.Muell.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Acacia baileyana x Acacia dealbata NA,Acacia baileyana x Acacia dealbata,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Acacia binervia (J.C.Wendl.) J.F.Macbr.,Acacia binervia,native,Acacia binervia (J.C.Wendl.) J.F.Macbr.,Acacia binervia,native,(J.C.Wendl.) J.F.Macbr.,accepted,Similar for the state flora and the APC,native,native,native
Acacia bivenosa DC.,Acacia bivenosa,native,Acacia bivenosa DC.,Acacia bivenosa,NA,DC.,accepted,Not recorded on the APC as present in this state,native,native,native
Acacia cupularis Domin,Acacia cupularis,native,Acacia cupularis Domin,Acacia cupularis,native colonising,Domin,accepted,"According to the state flora is native, while according to the APC is native colonising",native colonising,native,native
Acacia boormanii Maiden,Acacia boormanii,native colonising,Acacia boormanii Maiden,Acacia boormanii,native,Maiden,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Acacia boormanii subsp. boormanii NA,Acacia boormanii subsp. boormanii,native,Acacia boormanii Maiden subsp. boormanii,Acacia boormanii subsp. boormanii,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia boormanii subsp. gibba K.J.Tucker,Acacia boormanii subsp. gibba,native,Acacia boormanii subsp. gibba K.J.Tucker,Acacia boormanii subsp. gibba,native,K.J.Tucker,accepted,Similar for the state flora and the APC,native,native,native
Acacia terminalis (Salisb.) J.F.Macbr.,Acacia terminalis,native,Acacia terminalis (Salisb.) J.F.Macbr.,Acacia terminalis,native,(Salisb.) J.F.Macbr.,accepted,Similar for the state flora and the APC,native,native,native
Acacia brachybotrya Benth.,Acacia brachybotrya,native colonising,Acacia brachybotrya Benth.,Acacia brachybotrya,native,Benth.,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Acacia brownii (Poir.) Steud.,Acacia brownii,native,Acacia brownii (Poir.) Steud.,Acacia brownii,native,(Poir.) Steud.,accepted,Similar for the state flora and the APC,native,native,native
Acacia buxifolia A.Cunn.,Acacia buxifolia,native,Acacia buxifolia A.Cunn.,Acacia buxifolia,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Acacia buxifolia subsp. buxifolia NA,Acacia buxifolia subsp. buxifolia,native,Acacia buxifolia A.Cunn. subsp. buxifolia,Acacia buxifolia subsp. buxifolia,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia caerulescens Maslin & Court,Acacia caerulescens,native,Acacia caerulescens Maslin & Court,Acacia caerulescens,native,Maslin & Court,accepted,Similar for the state flora and the APC,native,native,native
Acacia euthycarpa (J.M.Black) J.M.Black,Acacia euthycarpa,native,Acacia euthycarpa (J.M.Black) J.M.Black,Acacia euthycarpa,native,(J.M.Black) J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Acacia cardiophylla A.Cunn. ex Benth.,Acacia cardiophylla,introduced,Acacia cardiophylla A.Cunn. ex Benth.,Acacia cardiophylla,NA,A.Cunn. ex Benth.,accepted,Not recorded on the APC as present in this state,introduced,introduced,casual
Acacia cineramis H.K.Orel,Acacia cineramis,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Acacia cognata Domin,Acacia cognata,native colonising,Acacia cognata Domin,Acacia cognata,native colonising,Domin,accepted,Similar for the state flora and the APC,native colonising,native,native
Acacia colletioides Benth.,Acacia colletioides,native,Acacia colletioides Benth.,Acacia colletioides,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia cultriformis A.Cunn. ex G.Don,Acacia cultriformis,introduced,Acacia cultriformis A.Cunn. ex G.Don,Acacia cultriformis,NA,A.Cunn. ex G.Don,accepted,Not recorded on the APC as present in this state,introduced,introduced,casual
Acacia cyclops A.Cunn. ex G.Don,Acacia cyclops,naturalised,Acacia cyclops A.Cunn. ex G.Don,Acacia cyclops,naturalised,A.Cunn. ex G.Don,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Acacia dallachiana F.Muell.,Acacia dallachiana,native,Acacia dallachiana F.Muell.,Acacia dallachiana,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia daviesii M.Bartolome,Acacia daviesii,native,Acacia daviesii M.Bartolome,Acacia daviesii,native,M.Bartolome,accepted,Similar for the state flora and the APC,native,native,native
Acacia dawsonii R.T.Baker,Acacia dawsonii,native,Acacia dawsonii R.T.Baker,Acacia dawsonii,native,R.T.Baker,accepted,Similar for the state flora and the APC,native,native,native
Acacia dealbata Link,Acacia dealbata,native,Acacia dealbata Link,Acacia dealbata,native,Link,accepted,Similar for the state flora and the APC,native,native,native
Acacia dealbata subsp. dealbata NA,Acacia dealbata subsp. dealbata,native,Acacia dealbata Link subsp. dealbata,Acacia dealbata subsp. dealbata,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia deanei (R.T.Baker) Welch,Acacia deanei,native,"Acacia deanei (R.T.Baker) M.B.Welch, Coombs & McGlynn",Acacia deanei,native,"(R.T.Baker) M.B.Welch, Coombs & McGlynn",accepted,Similar for the state flora and the APC,native,native,native
Acacia deanei subsp. deanei NA,Acacia deanei subsp. deanei,native,"Acacia deanei (R.T.Baker) M.B.Welch, Coombs & McGlynn subsp. deanei",Acacia deanei subsp. deanei,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia deanei subsp. paucijuga (F.Muell. ex N.A.Wakef.) Tindale,Acacia deanei subsp. paucijuga,native,Acacia deanei subsp. paucijuga (F.Muell. ex N.A.Wakef.) Tindale,Acacia deanei subsp. paucijuga,native,(F.Muell. ex N.A.Wakef.) Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia decora Rchb.,Acacia decora,native,Acacia decora Rchb.,Acacia decora,native,Rchb.,accepted,Similar for the state flora and the APC,native,native,native
Acacia decurrens Willd.,Acacia decurrens,naturalised,Acacia decurrens Willd.,Acacia decurrens,naturalised,Willd.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Acacia dictyocarpa Benth.,Acacia dictyocarpa,native,Acacia dictyocarpa Benth.,Acacia dictyocarpa,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia difformis R.T.Baker,Acacia difformis,native,Acacia difformis R.T.Baker,Acacia difformis,native,R.T.Baker,accepted,Similar for the state flora and the APC,native,native,native
Acacia genistifolia Link,Acacia genistifolia,native,Acacia genistifolia Link,Acacia genistifolia,native,Link,accepted,Similar for the state flora and the APC,native,native,native
Acacia dodonaeifolia (Pers.) Balb.,Acacia dodonaeifolia,native,Acacia dodonaeifolia (Pers.) Balb.,Acacia dodonaeifolia,naturalised,(Pers.) Balb.,accepted,"According to the state flora is native, while according to the APC is naturalised",naturalised,native,native
Acacia doratoxylon A.Cunn.,Acacia doratoxylon,native,Acacia doratoxylon A.Cunn.,Acacia doratoxylon,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Acacia elata A.Cunn. ex Benth.,Acacia elata,naturalised,Acacia elata A.Cunn. ex Benth.,Acacia elata,naturalised,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Acacia elongata Sieber ex DC.,Acacia elongata,introduced,Acacia elongata Sieber ex DC.,Acacia elongata,doubtfully naturalised,Sieber ex DC.,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,casual
Acacia enterocarpa R.V.Sm.,Acacia enterocarpa,native,Acacia enterocarpa R.V.Sm.,Acacia enterocarpa,native,R.V.Sm.,accepted,Similar for the state flora and the APC,native,native,native
Acacia euthycarpa subsp. euthycarpa NA,Acacia euthycarpa subsp. euthycarpa,native,Acacia euthycarpa (J.M.Black) J.M.Black subsp. euthycarpa,Acacia euthycarpa subsp. euthycarpa,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia euthycarpa subsp. oblanceolata Stephen H.Wright,Acacia euthycarpa subsp. oblanceolata,native,Acacia euthycarpa subsp. oblanceolata S.Wright,Acacia euthycarpa subsp. oblanceolata,native,S.Wright,accepted,Similar for the state flora and the APC,native,native,native
Acacia extensa Lindl.,Acacia extensa,naturalised,Acacia extensa Lindl.,Acacia extensa,naturalised,Lindl.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Acacia exudans Lindl.,Acacia exudans,native,Acacia exudans Lindl.,Acacia exudans,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Acacia falciformis DC.,Acacia falciformis,native,Acacia falciformis DC.,Acacia falciformis,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Acacia farinosa Lindl.,Acacia farinosa,native,Acacia farinosa Lindl.,Acacia farinosa,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Acacia fimbriata A.Cunn. ex G.Don,Acacia fimbriata,introduced,Acacia fimbriata A.Cunn. ex G.Don,Acacia fimbriata,doubtfully naturalised,A.Cunn. ex G.Don,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,casual
Acacia fimbriata x Acacia pravissima NA,Acacia fimbriata x Acacia pravissima,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Acacia flexifolia A.Cunn. ex Benth.,Acacia flexifolia,native,Acacia flexifolia A.Cunn. ex Benth.,Acacia flexifolia,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia floribunda (Vent.) Willd.,Acacia floribunda,native colonising,Acacia floribunda (Vent.) Willd.,Acacia floribunda,native colonising,(Vent.) Willd.,accepted,Similar for the state flora and the APC,native colonising,native,native
Acacia frigescens J.H.Willis,Acacia frigescens,native,Acacia frigescens J.H.Willis,Acacia frigescens,native,J.H.Willis,accepted,Similar for the state flora and the APC,native,native,native
Acacia genistifolia subsp. attenuata A.T.Webb,Acacia genistifolia subsp. attenuata,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Acacia genistifolia subsp. genistifolia NA,Acacia genistifolia subsp. genistifolia,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Acacia genistifolia subsp. platyphylla A.T.Webb,Acacia genistifolia subsp. platyphylla,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Acacia glandulicarpa Reader,Acacia glandulicarpa,native,Acacia glandulicarpa Reader,Acacia glandulicarpa,native,Reader,accepted,Similar for the state flora and the APC,native,native,native
Acacia gunnii Benth.,Acacia gunnii,native,Acacia gunnii Benth.,Acacia gunnii,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia hakeoides A.Cunn. ex Benth.,Acacia hakeoides,native,Acacia hakeoides A.Cunn. ex Benth.,Acacia hakeoides,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia williamsonii Court,Acacia williamsonii,native,Acacia williamsonii Court,Acacia williamsonii,native,Court,accepted,Similar for the state flora and the APC,native,native,native
Acacia halliana Maslin,Acacia halliana,native,Acacia halliana Maslin,Acacia halliana,native,Maslin,accepted,Similar for the state flora and the APC,native,native,native
Acacia havilandiorum Maiden,Acacia havilandiorum,native,Acacia havilandiorum Maiden,Acacia havilandiorum,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia homalophylla A.Cunn. ex Benth.,Acacia homalophylla,native,Acacia homalophylla A.Cunn. ex Benth.,Acacia homalophylla,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia howittii F.Muell.,Acacia howittii,native colonising,Acacia howittii F.Muell.,Acacia howittii,native colonising,F.Muell.,accepted,Similar for the state flora and the APC,native colonising,native,native
Acacia implexa Benth.,Acacia implexa,native,Acacia implexa Benth.,Acacia implexa,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia infecunda Molyneux & Forrester,Acacia infecunda,native,Acacia infecunda Molyneux & Forrester,Acacia infecunda,native,Molyneux & Forrester,accepted,Similar for the state flora and the APC,native,native,native
Acacia irrorata Sieber ex Spreng.,Acacia irrorata,native,Acacia irrorata Sieber ex Spreng.,Acacia irrorata,native,Sieber ex Spreng.,accepted,Similar for the state flora and the APC,native,native,native
Acacia irrorata subsp. irrorata NA,Acacia irrorata subsp. irrorata,native,Acacia irrorata Sieber ex Spreng. subsp. irrorata,Acacia irrorata subsp. irrorata,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia iteaphylla F.Muell. ex Benth.,Acacia iteaphylla,naturalised,Acacia iteaphylla F.Muell. ex Benth.,Acacia iteaphylla,naturalised,F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Acacia kettlewelliae Maiden,Acacia kettlewelliae,native,Acacia kettlewelliae Maiden,Acacia kettlewelliae,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia kybeanensis Maiden & Blakely,Acacia kybeanensis,native,Acacia kybeanensis Maiden & Blakely,Acacia kybeanensis,native,Maiden & Blakely,accepted,Similar for the state flora and the APC,native,native,native
Acacia lanigera A.Cunn.,Acacia lanigera,native,Acacia lanigera A.Cunn.,Acacia lanigera,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Acacia lanigera var. gracilipes Benth.,Acacia lanigera var. gracilipes,native,Acacia lanigera var. gracilipes Benth.,Acacia lanigera var. gracilipes,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Acacia lanigera var. lanigera NA,Acacia lanigera var. lanigera,native,Acacia lanigera A.Cunn. var. lanigera,Acacia lanigera var. lanigera,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia lanigera var. whanii (F.Muell. ex Benth.) Pescott,Acacia lanigera var. whanii,native,Acacia lanigera var. whanii (F.Muell. ex Benth.) Pescott,Acacia lanigera var. whanii,native,(F.Muell. ex Benth.) Pescott,accepted,Similar for the state flora and the APC,native,native,native
Acacia leprosa Sieber ex DC.,Acacia leprosa,native,Acacia leprosa Sieber ex DC.,Acacia leprosa,native,Sieber ex DC.,accepted,Similar for the state flora and the APC,native,native,native
Acacia stictophylla Court ex Maslin & D.J.Murphy,Acacia stictophylla,native,Acacia stictophylla Court ex Maslin & D.J.Murphy,Acacia stictophylla,native,Court ex Maslin & D.J.Murphy,accepted,Similar for the state flora and the APC,native,native,native
Acacia leprosa var. uninervia Maslin & D.J.Murphy,Acacia leprosa var. uninervia,native,Acacia leprosa var. uninervia Maslin & D.J.Murphy,Acacia leprosa var. uninervia,native,Maslin & D.J.Murphy,accepted,Similar for the state flora and the APC,native,native,native
Acacia verniciflua A.Cunn.,Acacia verniciflua,native,Acacia verniciflua A.Cunn.,Acacia verniciflua,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
