State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Abelmoschus ficulneus (L.) Wight,Abelmoschus ficulneus,native,Abelmoschus ficulneus (L.) Wight,Abelmoschus ficulneus,native,(L.) Wight,accepted,Similar for the state flora and the APC,native,native,native
Abelmoschus moschatus Medik.,Abelmoschus moschatus,native,Abelmoschus moschatus Medik.,Abelmoschus moschatus,native,Medik.,accepted,Similar for the state flora and the APC,native,native,native
Abelmoschus moschatus subsp. biakensis (Hochr.) Borss.Waalk.,Abelmoschus moschatus subsp. biakensis,native,Abelmoschus moschatus subsp. biakensis (Hochr.) Borss.Waalk.,Abelmoschus moschatus subsp. biakensis,native,(Hochr.) Borss.Waalk.,accepted,Similar for the state flora and the APC,native,native,native
Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,Abelmoschus moschatus subsp. tuberosus,native,Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,Abelmoschus moschatus subsp. tuberosus,native,(Span.) Borss.Waalk.,accepted,Similar for the state flora and the APC,native,native,native
Abildgaardia macrantha (Boeckeler) Goetgh.,Abildgaardia macrantha,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abildgaardia oxystachya (F.Muell.) K.L.Wilson & J.J.Bruhl,Abildgaardia oxystachya,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abildgaardia pachyptera (S.T.Blake) K.L.Wilson & J.J.Bruhl,Abildgaardia pachyptera,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abildgaardia schoenoides R.Br.,Abildgaardia schoenoides,native,Fimbristylis squarrulosa F.Muell.,Fimbristylis squarrulosa,native,F.Muell.,taxonomic synonym,Similar for the state flora and the APC,native,native,native
Abrus precatorius L.,Abrus precatorius,native,Abrus precatorius L.,Abrus precatorius,native,L.,accepted,Similar for the state flora and the APC,native,native,native
Abrus precatorius subsp. precatorius L.,Abrus precatorius subsp. precatorius,native,Abrus precatorius L. subsp. precatorius,Abrus precatorius subsp. precatorius,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Abutilon amplum Benth.,Abutilon amplum,native,Abutilon amplum Benth.,Abutilon amplum,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon auritum (Link) Sweet,Abutilon auritum,native,Abutilon auritum (Wall. ex Link) Sweet,Abutilon auritum,native,(Wall. ex Link) Sweet,accepted,Similar for the state flora and the APC,native,native,native
"Abutilon australiense (Britten) Nimbalkar, Nandikar & Sardesai",Abutilon australiense,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Abutilon cryptopetalum (F.Muell.) Benth.,Abutilon cryptopetalum,native,Abutilon cryptopetalum (F.Muell.) F.Muell. ex Benth.,Abutilon cryptopetalum,native,(F.Muell.) F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon cunninghamii Benth.,Abutilon cunninghamii,native,Abutilon cunninghamii Benth.,Abutilon cunninghamii,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon fraseri (Hook.) Walp.,Abutilon fraseri,native,Abutilon fraseri (Hook.) Walp.,Abutilon fraseri,native,(Hook.) Walp.,accepted,Similar for the state flora and the APC,native,native,native
Abutilon fraseri subsp. fraseri (Hook.) Walp.,Abutilon fraseri subsp. fraseri,native,Abutilon fraseri (Hook.) Walp. subsp. fraseri,Abutilon fraseri subsp. fraseri,native,NA,accepted,Similar for the state flora and the APC,native,native,native
