Family,Genus,Mycorrhiza,Species sampled,Total samples,Data correct,Notes
Cupressaceae,Chamaecyparis,AM,5,22,91%,
Cupressaceae,Cupressus,AM,10,41,88%,
Cupressaceae,Juniperus,AM,33,127,86%,CRA
Cupressaceae,Thuja,AM,3,21,95%,CRA
Ginkgoaceae,Ginkgo,AM,1,11,73%,CRA
Pinaceae,Abies,EM,32,99,99%,
Pinaceae,Cedrus,EM,3,24,96%,
Pinaceae,Larix,EM,16,83,95%,
Pinaceae,Picea,EM,25,162,100%,
Pinaceae,Pinus,EM,85,500,95%,
Pinaceae,Pseudotsuga,EM,6,42,95%,
Pinaceae,Tsuga,EM,6,32,100%,
Taxaceae,Taxus,AM,4,24,88%,
Altingiaceae,Liquidambar,AM,3,12,83%,
Anacardiaceae,Pistacia,AM,6,13,85%,
Anacardiaceae,Rhus,AM,10,16,81%,
Aquifoliaceae,Ilex,AM,22,35,89%,
Betulaceae,Alnus,EM-AM,32,174,96%,
Betulaceae,Betula,EM,30,205,94%,
Betulaceae,Carpinus,EM,6,28,93%,
Betulaceae,Corylus,EM (AM),5,64,97%,
Cannabaceae,Celtis,AM,12,21,76%,
Cornaceae,Cornus,AM,15,45,89%,
Elaeocarpaceae,Elaeocarpus,AM,15,19,79%,
Ericaceae,Arbutus,EM,2,19,95%,
Ericaceae,Gaultheria,Ericoid,16,29,72%,
Ericaceae,Rhododendron,Ericoid,36,60,52%,
Fabaceae,Gleditsia,AM,5,10,60%,
Fabaceae,Robinia,AM,2,27,74%,
Fabaceae,Sophora,AM,7,12,92%,
Fagaceae,Castanea,EM,6,29,90%,
Fagaceae,Castanopsis,EM,15,29,59%,
Fagaceae,Fagus,EM,8,125,100%,
Fagaceae,Lithocarpus,EM,13,23,74%,
Fagaceae,Quercus,EM,53,162,89%,
Juglandaceae,Juglans,AM,6,27,78%,
Magnoliaceae,Liriodendron,AM,2,15,93%,
Magnoliaceae,Magnolia,AM,30,50,84%,
Malvaceae,Tilia,EM,11,62,92%,
Moraceae,Morus,AM,3,20,90%,
Myricaceae,Myrica,AM,8,23,57%,
Oleaceae,Fraxinus,AM,15,63,84%,
Oleaceae,Ligustrum,AM,6,19,84%,
Oleaceae,Olea,AM,7,21,86%,
Platanaceae,Platanus,AM,3,5,80%,
Rhamnaceae,Rhamnus,AM,10,22,100%,
Rosaceae,Cotoneaster,AM,13,25,96%,CRA
Rosaceae,Crataegus,AM,16,37,65%,CRA
Rosaceae,Malus,AM,12,31,77%,CRA
Rosaceae,Prunus,AM,53,153,75%,CRA
Rosaceae,Pyrus,AM,8,20,80%,CRA
Rosaceae,Sorbus,AM,13,67,70%,CRA
Salicaceae,Populus,EM (AM),28,185,96%,
Salicaceae,Salix,EM-AM (NM),86,394,97%,"cold, wet"
Sapindaceae,Acer,AM,37,156,82%,CRA
Sapindaceae,Aesculus,AM,3,9,78%,CRA
Simaroubaceae,Ailanthus,AM,3,12,92%,
Styracaceae,Styrax,AM,6,9,78%,
Ulmaceae,Ulmus,AM,11,41,66%,CRA
Ulmaceae,Zelkova,AM,2,5,80%,CRA
