Main.Group,Family,Alt.Family,Genus,Form,Primary.Obs,Secondary.Obs,References.For.Family,Notes.For.Family
FERNS & FERN ALLIES,Aspleniaceae,,Asplenium,ferns,VAM,NM,"Cooper 1976, Gemma et al. 1992",most samples NM 
FERNS & FERN ALLIES,Blechnaceae,,Blechnum,ferns,VAM,,"Cooper 1976, Gemma et al. 1992.",
FERNS & FERN ALLIES,Cyatheaceae,,Cyathea,tree ferns,VAM,,"Cooper 1976, Gemma et al. 1992.",
FERNS & FERN ALLIES,Dennstaedtiaceae,,Hypolepis,fern,VAM,,"Cooper 1976 , Brockhoff & Allaway 1988, Logan et al. 1989, Sward 1978",
FERNS & FERN ALLIES,Dennstaedtiaceae,,Pteridium,fern,VAM,,"Cooper 1976 , Brockhoff & Allaway 1988, Logan et al. 1989, Sward 1978",
FERNS & FERN ALLIES,Dicksoniaceae,,Dicksonia,tree fern,VAM,,Cooper 1976,
FERNS & FERN ALLIES,Dryopteridaceae,,Polystichum,ferns,VAM,,Cooper 1976 ,
FERNS & FERN ALLIES,Dryopteridaceae,,Rumohra,ferns,VAM,,Cooper 1976 ,
FERNS & FERN ALLIES,Gleicheniaceae,,Gleichenia,ferns,VAM,,Cooper 1976,
FERNS & FERN ALLIES,Hymenophyllaceae,,Hymenophyllum,filmy ferns,VAM,,Cooper 1976,
FERNS & FERN ALLIES,Hymenophyllaceae,,Trichomanes,filmy ferns,VAM,,Cooper 1976,
FERNS & FERN ALLIES,Isoetaceae,,Isoetes,fern ally,VAM,,Clayton & Bagyaraj 1984., See Section 2.
FERNS & FERN ALLIES,Lindsaeaceae,,Lindsaea,fern,VAM,,"Cooper 1976, Gemma et al. 1992, Brundrett et al. 1995.",
FERNS & FERN ALLIES,Lycopodiaceae,,Lycopodium,fern ally,VAM,NM,"Cooper 1976, Johnston & Ryan 2000,Holloway 1935.","Lycopodium adult VAM Cooper 1976, NM - Johnston & Ryan 2000. Phylloglossum Hyphal coils in gametophyte MH VAM? - Holloway 1935."
FERNS & FERN ALLIES,Lycopodiaceae,,Phylloglossum,fern ally,VAM,NM,"Cooper 1976, Johnston & Ryan 2000,Holloway 1935.","Lycopodium adult VAM Cooper 1976, NM - Johnston & Ryan 2000. Phylloglossum Hyphal coils in gametophyte MH VAM? - Holloway 1935."
FERNS & FERN ALLIES,Nephrolepidaceae,(=Lomariopsidaceae),Arthropteris,fern,VAM,,"Cooper 1976, Reddell et al. 1996",
FERNS & FERN ALLIES,Nephrolepidaceae,(=Lomariopsidaceae),Nephrolepis,fern,VAM,,"Cooper 1976, Reddell et al. 1996",
FERNS & FERN ALLIES,Osmondaceae,,Todea,ferns,VAM,,Cooper 1976 ,
FERNS & FERN ALLIES,Polypodiaceae,(Grammitidaceae),Drynaria,ferns,VAM,(NM),"Cooper 1976, Brundrett et al. 1995.",Drynaria NM on rock - Brundrett et al. 1995.
FERNS & FERN ALLIES,Polypodiaceae,(Grammitidaceae),Grammitis,ferns,VAM,(NM),"Cooper 1976, Brundrett et al. 1995.",Drynaria NM on rock - Brundrett et al. 1995.
FERNS & FERN ALLIES,Polypodiaceae,(Grammitidaceae),Pyrrosia,ferns,VAM,(NM),"Cooper 1976, Brundrett et al. 1995.",Drynaria NM on rock - Brundrett et al. 1995.
FERNS & FERN ALLIES,Psilotaceae,,Tmesipteris,lower ferns,MH,VAM,"Copper 1976, Gemma et al. 1992.","Tmesipteris Sporophyte VAM - Copper 1976. Psilotum soporophyte VAM - M. Brundrett (unpublished), Gemma et al. 1992. See Section 2."
FERNS & FERN ALLIES,Psilotaceae,,Psilotum,lower ferns,MH,VAM,"Copper 1976, Gemma et al. 1992.","Tmesipteris Sporophyte VAM - Copper 1976. Psilotum soporophyte VAM - M. Brundrett (unpublished), Gemma et al. 1992. See Section 2."
FERNS & FERN ALLIES,Pteridaceae,"(inc. Adiantaceae, Hemionitidaceae, Sinopteridaceae)",Adiantum,ferns,VAM,(NM),"Cooper 1976, Gemma et al. 1992, Brundrett et al. 1995.",Platyzoma NM - Brundrett et al. 1995.
