Site,Plot,Lat,Long,Fire_Treatment
NSMSEQCasWoo01,NSS01,-29.14481,152.91949,U
NSMSEQCasWoo01,NSS02,-29.14629,152.91916,U
NSMSEQCasWoo01,NSS03,-29.14623,152.91951,U
NSMSEQCasWoo01,NSS04,-29.1462,152.91995,U
NSMSEQCasWoo01,NSS05,-29.10022,152.91724,B
NSMSEQCasWoo01,NSS06,-29.10021,152.91725,B
NSMSEQCasWoo01,NSS07,-29.09993,152.91685,B
NSMSEQCasWoo01,NSS08,-29.09967,152.91635,B
VCMSECEucFor01,VCEF01,-37.6901963014153,148.57050943980752,U
VCMSECEucFor01,VCEF02,-37.6894537582983,148.57009683759546,U
VCMSECEucFor01,VCEF03,-37.6890568660331,148.570122491189,B
VCMSECEucFor01,VCEF04,-37.6886778427186,148.57015986240873,B
VCMSECEucFor01,VCEF05,-37.6904609666795,148.56687447316628,U
VCMSECEucFor01,VCEF06,-37.6902810681201,148.5668480046302,U
VCMSECEucFor01,VCEF07,-37.6891376704269,148.5674363606484,B
VCMSECEucFor01,VCEF08,-37.6887239642557,148.56737094632285,B
VCMSECRainfo01,VCRF13,-37.53085,149.735442,B
VCMSECRainfo01,VCRF14,-37.531003,149.735489,B
VCMSECRainfo01,VCRF15,-37.530914,149.751433,B
VCMSECRainfo01,VCRF16,-37.530994,149.735336,B
VCMSECRainfo01,VCRF17,-37.539858,149.740111,U
VCMSECRainfo01,VCRF18,-37.539778,149.740889,U
VCMSECRainfo01,VCRF19,-37.540008,149.741089,U
VCMSECRainfo01,VCRF20,-37.540189,149.742006,U
WAMCOOEucWoo01,WAEW09,-32.18829,121.34023,U
WAMCOOEucWoo01,WAEW10,-32.18967,121.33628,B
WAMCOOEucWoo01,WAEW11,-32.18966,121.33522,B
WAMCOOEucWoo01,WAEW12,-32.119345,121.33895,U
WAMCOOEucWoo01,WAEW13,-32.19363,121.33462,U
WAMCOOEucWoo01,WAEW14,-32.19191,121.33455,B
WAMCOOEucWoo01,WAEW15,-32.19511,121.33469,U
WAMCOOEucWoo01,WAEW16,-32.19235,121.33237,B
WAMCOOEucWoo02,WAEW17,-32.32404,123.5667,U
WAMCOOEucWoo02,WAEW18,-32.32682,123.56432,B
WAMCOOEucWoo02,WAEW19,-32.3225,123.56755,U
WAMCOOEucWoo02,WAEW20,-32.32915,123.56731,B
WAMCOOEucWoo02,WAEW21,-32.32254,123.56731,U
WAMCOOEucWoo02,WAEW22,-32.3247,123.55861,B
WAMCOOEucWoo02,WAEW23,-32.32091,123.54759,B
WAMCOOEucWoo02,WAEW24,-32.31687,123.55198,U
WAMCOOEucWoo03,WAEW25,-32.14018,121.68298,U
WAMCOOEucWoo03,WAEW26,-32.14062,121.68349,U
WAMCOOEucWoo03,WAEW27,-32.14237,121.68426,B
WAMCOOEucWoo03,WAEW28,-32.14326,121.68364,B
WAMCOOEucWoo03,WAEW29,-32.14516,121.68435,U
WAMCOOEucWoo03,WAEW30,-32.14521,121.68361,U
WAMCOOEucWoo03,WAEW31,-32.145223,121.6826,B
WAMCOOEucWoo03,WAEW32,-32.14552,121.68298,B
WAMCOOShrubl01,WASS01,-32.18518,121.25351,U
WAMCOOShrubl01,WASS02,-32.18482,121.25306,U
WAMCOOShrubl01,WASS03,-32.18466,121.25271,U
WAMCOOShrubl01,WASS04,-32.18423,121.25256,U
WAMCOOShrubl01,WASS05,-32.18451,121.25352,B
WAMCOOShrubl01,WASS06,-32.1845,121.25311,B
WAMCOOShrubl01,WASS07,-32.18468,121.25197,B
WAMCOOShrubl01,WASS08,-32.18419,121.25175,B
WAMESPShrubl01,WASP01,-34.88321349,118.3834337,B
WAMESPShrubl01,WASP02,-34.88321603,118.3840027,U
WAMESPShrubl01,WASP03,-34.88351099,118.3834387,B
WAMESPShrubl01,WASP04,-34.88349562,118.3839965,U
WAMESPShrubl01,WASP05,-34.88384467,118.3834333,B
WAMESPShrubl01,WASP06,-34.88377459,118.3840449,U
WAMESPShrubl01,WASP07,-34.88423306,118.3833742,B
WAMESPShrubl01,WASP08,-34.88410353,118.3844553,U
WAMDALRainfo01,WABVT09,-17.9478,122.2095,B
WAMDALRainfo01,WABVT10,-17.9429,122.2094,U
WAMDALRainfo01,WABVT11,-17.9467,122.2098,B
WAMDALRainfo01,WABVT12,-17.9487,122.2087,U
WAMDALRainfo01,WABVT13,-17.9468,122.2094,B
WAMDALRainfo01,WABVT14,-17.9866,122.2087,U
WAMDALRainfo01,WABVT15,-17.9468,122.2087,B
WAMDALRainfo01,WABVT16,-17.9477,122.2089,U
WAMDALEucWoo01,WABEW01,-17.9356,122.2123,B
WAMDALEucWoo01,WABEW02,-17.935,122.2123,U
WAMDALEucWoo01,WABEW03,-17.9346,122.2123,U
WAMDALEucWoo01,WABEW04,-17.9344,122.2121,U
WAMDALEucWoo01,WABEW05,-17.9344,122.2118,U
WAMDALEucWoo01,WABEW06,-17.9362,122.2123,B
WAMDALEucWoo01,WABEW07,-17.9371,122.2123,B
WAMDALEucWoo01,WABEW08,-17.9382,122.2124,B
WAMDALEucWoo02,WABEW17,-17.9834,122.1918,U
WAMDALEucWoo02,WABEW18,-17.9837,122.1913,U
WAMDALEucWoo02,WABEW19,-17.9832,122.1913,U
WAMDALEucWoo02,WABEW20,-17.9833,122.1901,U
WAMDALEucWoo02,WABEW21,-17.9828,122.1955,B
WAMDALEucWoo02,WABEW22,-17.9832,122.1943,B
WAMDALEucWoo02,WABEW23,-17.9794,122.1948,B
WAMDALEucWoo02,WABEW24,-17.9764,122.1916,B
SAMMDDMallee01,SAM101,-33.76871603,140.6084889,B
SAMMDDMallee01,SAM102,-33.77061782,140.6109426,U
SAMMDDMallee01,SAM103,-33.76786011,140.6174022,B
SAMMDDMallee01,SAM104,-33.76723467,140.6164007,U
SAMMDDMallee01,SAM105,-33.76572332,140.6176493,B
SAMMDDMallee01,SAM106,-33.76665359,140.6180663,U
SAMMDDMallee01,SAM107,-33.76452134,140.619782,B
SAMMDDMallee01,SAM108,-33.76529918,140.6204913,U
SAMMDDMallee02,SAM209,-33.79822258,140.5251173,U
SAMMDDMallee02,SAM210,-33.79777442,140.5258436,U
SAMMDDMallee02,SAM211,-33.79901304,140.5242811,U
SAMMDDMallee02,SAM212,-33.79926311,140.5236423,U
SAMMDDMallee02,SAM213,-33.79736024,140.5236853,B
SAMMDDMallee02,SAM214,-33.79707644,140.5225958,B
SAMMDDMallee02,SAM215,-33.79946457,140.5338826,B
SAMMDDMallee02,SAM216,-34.04250441,140.7127688,B
QDMSEQRainfo01,QDRF01,-28.15538297,153.16992,U
QDMSEQRainfo01,QDRF02,-28.15519304,153.170036,U
QDMSEQRainfo01,QDRF03,-28.15537903,153.169472,B
QDMSEQRainfo01,QDRF04,-28.15531097,153.169542,B
QDMSEQRainfo01,QDRF05,-28.15258702,153.168321,U
QDMSEQRainfo01,QDRF06,-28.15195503,153.169048,U
QDMSEQRainfo01,QDRF07,-28.15206299,153.168519,B
QDMSEQRainfo01,QDRF08,-28.15199601,153.1687,B
