OTU,kingdom,phylum,class,order,family,genus,species,exploration_type,guild,guild2
ITSall_OTUa_13,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_1016,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUb_427,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_1011,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_151,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA,medium-distance_smooth,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_666,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,NA,medium-distance_fringe,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUb_152,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUc_54,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUc_95,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1125,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1703,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_172,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1213,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_83,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1184,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUj_431,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Setchelliogaster,Setchelliogaster_australiensis,short-distance_delicate,Ectomycorrhizal,EctoMycorrhizal
ITSall_OTUa_2854,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_2741,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_2791,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUf_2198,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1135,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUm_6684,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_3097,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_1666,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUk_1888,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,NA,NA,Orchid Mycorrhizal,Orchid Mycorrhizal
ITSall_OTUi_4086,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
ITSall_OTUa_6066,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,NA,Arbuscular Mycorrhizal,Arbuscular Mycorrhizal
