genus,family,repo_strategy,notes
Laccaria,Hydnangiaceae,Epigeous,NA
Tomentella,Thelephoraceae,Resupinate,NA
Cortinarius,Cortinariaceae,Epigeous,NA
Setchelliogaster,Bolbitiaceae,Hypogeous or Semi-hypogeous,NA
Serendipita,Serendipitaceae,NA,Unable to determine reproductive structures from available literature.
Rhizopogon,Rhizopogonaceae,Hypogeous or Semi-hypogeous,NA
Russula,Russulaceae,Epigeous,NA
Inocybe,Inocybaceae,Epigeous,NA
Ruhlandiella,Pezizaceae,Hypogeous or Semi-hypogeous,Epigeous mushrooms (Warcup 1991)
Scleroderma,Sclerodermataceae,Epigeous,NA
Terfezia,Pezizaceae,Hypogeous or Semi-hypogeous,NA
Tubariomyces,Inocybaceae,Epigeous,Epigeous mushrooms (Alvardo and Manjon 2010)
Clavulina,Clavulinaceae,Epigeous,NA
Hysterangium,Hysterangiaceae,Hypogeous or Semi-hypogeous,NA
Wilcoxina,Pyronemataceae,Epigeous,NA
Suillus,Suillaceae,Epigeous,NA
Labyrinthomyces,Tuberaceae,Hypogeous or Semi-hypogeous,NA
Coltricia,Hymenochaetaceae,Hypogeous or Semi-hypogeous,NA
Descomyces,Bolbitiaceae,Hypogeous or Semi-hypogeous,NA
Lactarius,Russulaceae,Epigeous,NA
Descolea,Bolbitiaceae,Epigeous,NA
Hebeloma,Hymenogastraceae,Epigeous,NA
Cenococcum,Gloniaceae,Resupinate,(sterile fungus)
Pisolithus,Pisolithaceae,Epigeous,NA
Reddellomyces,Tuberaceae,Hypogeous or Semi-hypogeous,NA
NA,Thelephoraceae,Epigeous,"coral-like (form higly variable) (Brundrett, 2009)"
NA,Boletaceae,NA,"Taxonomic identification limited, conflicting fruiting structures within family."
Pezoloma,Leotiaceae,NA,Unable to determine reproductive structures from available literature.
NA,Tricholomataceae,Epigeous,"Epigeous based on other genera (Brundrett, 2009)"
Thelephora,Thelephoraceae,Epigeous,NA
Myxotrichum,Myxotrichaceae,NA,Unable to determine reproductive structures from available literature.
Amanita,Amanitaceae,Epigeous,NA
NA,Hysterangiaceae,NA,"Taxonomic identification limited, conflicting fruiting structures within family."
NA,Pluteaceae,Epigeous,Epigeous mushrooms (Malysheva et al. 2023)
Bonomyces,Tricholomataceae,Hypogeous or Semi-hypogeous,Epigeous mushrooms (Mao et al. 2023)
Tomentellopsis,Thelephoraceae,Resupinate,NA
