"Site","Plot","Lat","Long","Harvest_date","formatted_coords"
"WAMCOOShrubl01","WASS01",-32.18518,121.25351,2024-06-17,"32.18518 S 121.25351 E"
"WAMCOOShrubl01","WASS02",-32.18482,121.25306,2024-06-17,"32.18482 S 121.25306 E"
"WAMCOOShrubl01","WASS03",-32.18466,121.25271,2024-06-17,"32.18466 S 121.25271 E"
"WAMCOOShrubl01","WASS04",-32.18423,121.25256,2024-06-17,"32.18423 S 121.25256 E"
"WAMCOOShrubl01","WASS05",-32.18451,121.25352,2024-06-17,"32.18451 S 121.25352 E"
"WAMCOOShrubl01","WASS06",-32.1845,121.25311,2024-06-17,"32.1845 S 121.25311 E"
"WAMCOOShrubl01","WASS07",-32.18468,121.25197,2024-06-17,"32.18468 S 121.25197 E"
"WAMCOOShrubl01","WASS08",-32.18419,121.25175,2024-06-17,"32.18419 S 121.25175 E"
"WAMESPShrubl01","WASP01",-34.88321349,118.3834337,2024-03-19,"34.88321349 S 118.3834337 E"
"WAMESPShrubl01","WASP02",-34.88321603,118.3840027,2024-03-19,"34.88321603 S 118.3840027 E"
"WAMESPShrubl01","WASP03",-34.88351099,118.3834387,2024-03-19,"34.88351099 S 118.3834387 E"
"WAMESPShrubl01","WASP08",-34.88410353,118.3844553,2024-03-19,"34.88410353 S 118.3844553 E"
"WAMESPShrubl01","WASP05",-34.88384467,118.3834333,2024-03-19,"34.88384467 S 118.3834333 E"
"WAMESPShrubl01","WASP06",-34.88377459,118.3840449,2024-03-19,"34.88377459 S 118.3840449 E"
"WAMESPShrubl01","WASP07",-34.88423306,118.3833742,2024-03-19,"34.88423306 S 118.3833742 E"
"WAMESPShrubl01","WASP04",-34.88349562,118.3839965,2024-03-19,"34.88349562 S 118.3839965 E"
"QDMSEQRainfo01","QDRF01",-28.15538297,153.16992,2024-10-09,"28.15538297 S 153.16992 E"
"QDMSEQRainfo01","QDRF02",-28.15519304,153.170036,2024-10-09,"28.15519304 S 153.170036 E"
"QDMSEQRainfo01","QDRF03",-28.15537903,153.169472,2024-10-09,"28.15537903 S 153.169472 E"
"QDMSEQRainfo01","QDRF04",-28.15531097,153.169542,2024-10-09,"28.15531097 S 153.169542 E"
"QDMSEQRainfo01","QDRF05",-28.15258702,153.168321,2024-10-09,"28.15258702 S 153.168321 E"
"QDMSEQRainfo01","QDRF06",-28.15195503,153.169048,2024-10-09,"28.15195503 S 153.169048 E"
"QDMSEQRainfo01","QDRF07",-28.15206299,153.168519,2024-10-09,"28.15206299 S 153.168519 E"
"QDMSEQRainfo01","QDRF08",-28.15199601,153.1687,2024-10-09,"28.15199601 S 153.1687 E"
"WAMDALEucWoo02","WABEW18",-17.9837,122.1913,2024-10-03,"17.9837 S 122.1913 E"
"WAMDALEucWoo02","WABEW19",-17.9832,122.1913,2024-10-03,"17.9832 S 122.1913 E"
"WAMDALEucWoo02","WABEW20",-17.9833,122.1901,2024-10-03,"17.9833 S 122.1901 E"
"WAMDALEucWoo02","WABEW21",-17.9828,122.1955,2024-10-03,"17.9828 S 122.1955 E"
"WAMDALEucWoo02","WABEW22",-17.9832,122.1943,2024-10-03,"17.9832 S 122.1943 E"
"WAMDALEucWoo02","WABEW23",-17.9794,122.1948,2024-10-03,"17.9794 S 122.1948 E"
"WAMDALEucWoo02","WABEW24",-17.9764,122.1916,2024-10-03,"17.9764 S 122.1916 E"
"WAMCOOEucWoo02","WAEW18",-32.32682,123.56432,2024-06-18,"32.32682 S 123.56432 E"
"WAMCOOEucWoo02","WAEW20",-32.32915,123.56731,2024-06-18,"32.32915 S 123.56731 E"
"WAMCOOEucWoo02","WAEW21",-32.32254,123.56731,2024-06-18,"32.32254 S 123.56731 E"
"WAMCOOEucWoo03","WAEW25",-32.14018,121.68298,2024-06-17,"32.14018 S 121.68298 E"
"WAMCOOEucWoo03","WAEW26",-32.14062,121.68349,2024-06-17,"32.14062 S 121.68349 E"
"WAMCOOEucWoo03","WAEW27",-32.14237,121.68426,2024-06-17,"32.14237 S 121.68426 E"
"WAMCOOEucWoo03","WAEW28",-32.14326,121.68364,2024-06-17,"32.14326 S 121.68364 E"
