barcode	sample	n_R1	n_R2	n_merged	n_passed	n_assigned_to_fungi	n_assigned_to_fungi_and_phylum	n_after_removing_rare_otus
SMM0101-POW14852A1-AAGKYY3M5	NA	118680	118680	103187	91652	78497	77609	76140
SMM0102-POW14852A2-AAGKYY3M5	NA	72437	72437	46082	37203	25124	24752	23392
SMM0103-POW14852A3-AAGKYY3M5	NA	83438	83438	62745	54579	46655	45275	43849
SMM0104-POW14852A4-AAGKYY3M5	NA	71328	71328	48932	40518	31763	31578	30498
SMM0105-POW14852A5-AAGKYY3M5	NA	99691	99691	75372	64607	45144	44308	43164
SMM0106-POW14852A6-AAGKYY3M5	NA	101923	101923	81728	74165	42395	42199	40905
SMM0107-POW14852A7-AAGKYY3M5	NA	101091	101091	83302	72431	65122	64639	63079
SMM0108-POW14852A8-AAGKYY3M5	NA	115102	115102	97632	87727	75401	73609	72220
SMM0109-POW14852A9-AAGKYY3M5	NA	67733	67733	48413	39064	20155	19514	19142
SMM0110-POW14852A10-AAGKYY3M5	NA	136109	136109	109943	96489	37495	36520	36242
SMM0111-POW14852A11-AAGKYY3M5	NA	55902	55902	36265	32533	9037	8814	8105
SMM0112-POW14852A12-AAGKYY3M5	NA	43267	43267	19737	14555	3486	3479	3266
SMM0113-POW14852A13-AAGKYY3M5	NA	127180	127180	103852	90001	53320	51386	50907
SMM0114-POW14852A14-AAGKYY3M5	NA	114693	114693	99402	81253	16756	16162	16069
SMM0115-POW14852A15-AAGKYY3M5	NA	45203	45203	25184	20969	6481	6459	6226
SMM0116-POW14852A16-AAGKYY3M5	NA	71808	71808	47049	34763	5349	5277	4957
SMM0117-POW14852A17-AAGKYY3M5	NA	64595	64595	41195	31281	8790	8623	8509
SMM0118-POW14852A18-AAGKYY3M5	NA	68699	68699	43449	35116	18923	18415	17931
SMM0119-POW14852A19-AAGKYY3M5	NA	50196	50196	31232	27932	10618	10513	10016
SMM0120-POW14852A20-AAGKYY3M5	NA	40672	40672	18977	13437	7655	5618	5269
SMM0121-POW14852A21-AAGKYY3M5	NA	54183	54183	31658	27938	14307	13921	13268
SMM0122-POW14852A22-AAGKYY3M5	NA	85176	85176	57631	47104	11265	11164	10769
SMM0123-POW14852A23-AAGKYY3M5	NA	40006	40006	21830	17534	12013	11588	11178
SMM0124-POW14852A24-AAGKYY3M5	NA	63794	63794	40808	33261	9516	9505	9235
SMM0125-POW14852A25-AAGKYY3M5	NA	79185	79185	56465	45236	19349	18193	17803
SMM0126-POW14852A26-AAGKYY3M5	NA	85570	85570	59766	47749	11404	11289	11111
SMM0127-POW14852A27-AAGKYY3M5	NA	71298	71298	47162	35245	12892	12626	12314
SMM0128-POW14852A28-AAGKYY3M5	NA	45601	45601	25609	19002	3546	3546	3326
SMM0129-POW14852A29-AAGKYY3M5	NA	63414	63414	39610	32587	11761	10788	10386
SMM0130-POW14852A30-AAGKYY3M5	NA	17555	17555	7205	6071	1618	1618	1570
SMM0131-POW14852A31-AAGKYY3M5	NA	126174	126174	106602	93744	62098	61969	61182
SMM0132-POW14852A32-AAGKYY3M5	NA	56026	56026	42925	38096	15952	15763	15327
SMM0133-POW14852A33-AAGKYY3M5	NA	125731	125731	105608	90049	26297	25481	25210
SMM0134-POW14852A34-AAGKYY3M5	NA	63801	63801	43904	38059	11520	11376	10970
SMM0135-POW14852A35-AAGKYY3M5	NA	88978	88978	62197	56741	26214	26040	25628
SMM0136-POW14852A36-AAGKYY3M5	NA	99448	99448	77293	70761	22258	22182	21598
SMM0137-POW14852A37-AAGKYY3M5	NA	192615	192615	168083	151487	43524	43256	43129
SMM0138-POW14852A38-AAGKYY3M5	NA	119517	119517	96278	85093	48764	48268	46529
SMM0139-POW14852A39-AAGKYY3M5	NA	69279	69279	50464	43871	33589	33418	32199
SMM0140-POW14852A40-AAGKYY3M5	NA	104384	104384	85232	72749	59661	59298	57419
SMM0141-POW14852A41-AAGKYY3M5	NA	114882	114882	98250	89788	66310	65104	63012
SMM0142-POW14852A42-AAGKYY3M5	NA	77008	77008	60198	54445	35780	35241	33526
SMM0143-POW14852A43-AAGKYY3M5	NA	111895	111895	93134	82067	58777	58092	55937
SMM0144-POW14852A44-AAGKYY3M5	NA	52354	52354	34659	29535	26364	26255	23904
SMM0145-POW14852A45-AAGKYY3M5	NA	163821	163821	135894	122660	94641	94262	92664
SMM0146-POW14852A46-AAGKYY3M5	NA	57042	57042	37733	32494	28668	28532	26915
SMM0147-POW14852A47-AAGKYY3M5	NA	58538	58538	40441	35204	29737	29505	27288
SMM0148-POW14852A48-AAGKYY3M5	NA	137313	137313	121378	109524	94935	92483	90402
SMM0149-POW14852A49-AAGKYY3M5	NA	87325	87325	71445	62521	39989	39934	39138
SMM0150-POW14852A50-AAGKYY3M5	NA	103660	103660	85644	76903	40949	40800	40145
SMM0151-POW14852A51-AAGKYY3M5	NA	150180	150180	126220	117690	55675	55031	54060
SMM0152-POW14852A52-AAGKYY3M5	NA	62014	62014	47124	41692	23015	22916	22369
SMM0153-POW14852A53-AAGKYY3M5	NA	104160	104160	82849	74755	44723	44700	44093
SMM0154-POW14852A54-AAGKYY3M5	NA	72943	72943	53822	47859	23610	23595	22952
SMM0155-POW14852A55-AAGKYY3M5	NA	118976	118976	102361	94030	53883	53641	52841
SMM0156-POW14852A56-AAGKYY3M5	NA	85991	85991	65472	55752	10322	10255	9923
SMM0157-POW14852A57-AAGKYY3M5	NA	81300	81300	63067	49980	12329	12299	12029
SMM0158-POW14852A58-AAGKYY3M5	NA	37466	37466	17210	11075	3348	3348	3060
SMM0159-POW14852A59-AAGKYY3M5	NA	45794	45794	24088	19326	8536	8490	8166
SMM0160-POW14852A60-AAGKYY3M5	NA	43857	43857	25142	17426	4707	4704	4483
SMM0161-POW14852A61-AAGKYY3M5	NA	41327	41327	20109	12371	2769	2748	2493
SMM0162-POW14852A62-AAGKYY3M5	NA	61634	61634	36773	28496	19793	18592	17919
SMM0163-POW14852A63-AAGKYY3M5	NA	71957	71957	53436	49506	27029	26533	25818
SMM0164-POW14852A64-AAGKYY3M5	NA	102848	102848	76129	66044	15717	15603	15243
SMM0165-POW14852A65-AAGKYY3M5	NA	111899	111899	92342	83981	68589	68287	66054
SMM0166-POW14852A66-AAGKYY3M5	NA	78451	78451	55333	43332	15269	15198	14658
SMM0167-POW14852A67-AAGKYY3M5	NA	46579	46579	29642	25392	22201	20603	19011
SMM0168-POW14852A68-AAGKYY3M5	NA	43007	43007	25089	21229	18789	18704	17208
SMM0169-POW14852A69-AAGKYY3M5	NA	46563	46563	27720	22998	17090	16982	15436
SMM0170-POW14852A70-AAGKYY3M5	NA	85414	85414	60642	48483	12187	12135	11769
SMM0171-POW14852A71-AAGKYY3M5	NA	74183	74183	45323	37008	16207	16050	15379
SMM0172-POW14852A72-AAGKYY3M5	NA	99373	99373	73556	60005	29205	28089	27630
SMM0173-POW14852A73-AAGKYY3M5	NA	94685	94685	81837	75271	35536	34040	33291
SMM0174-POW14852A74-AAGKYY3M5	NA	101449	101449	73376	58521	30314	29572	29000
