barcode	sample	n_reads	n_resampled_reads	obs_richness_fungi	chao1_richness_fungi	obs_shannon_fungi	obs_richness_fungi_Ectomycorrhizal	obs_richness_fungi_PlantPathogen	obs_richness_fungi_WoodSaprotroph	obs_richness_fungi_ArbuscularMycorrhizal	obs_richness_fungi_OrchidMycorrhizal	chao1_richness_fungi_Ectomycorrhizal	chao1_richness_fungi_PlantPathogen	chao1_richness_fungi_WoodSaprotroph	chao1_richness_fungi_ArbuscularMycorrhizal	chao1_richness_fungi_OrchidMycorrhizal	obs_shannon_fungi_Ectomycorrhizal	obs_shannon_fungi_PlantPathogen	obs_shannon_fungi_WoodSaprotroph	obs_shannon_fungi_ArbuscularMycorrhizal	obs_shannon_fungi_OrchidMycorrhizal	relabund_fungi_Ectomycorrhizal	relabund_fungi_PlantPathogen	relabund_fungi_WoodSaprotroph	relabund_fungi_ArbuscularMycorrhizal	relabund_fungi_OrchidMycorrhizal
SMM0101-POW14852A1-AAGKYY3M5	NA	76140	5269	308	360	4.152670495667945	7	10	3	19	1	10	11	3	21	1	0.6466703878477403	1.2574857586201789	0.936888307539016	2.4805277058428334	0	0.14592855266614133	0.0137772524297347	9.981612818492252e-4	0.015103756238508011	3.677436301549777e-4
SMM0102-POW14852A2-AAGKYY3M5	NA	23392	5269	208	209	4.0068941164497245	6	12	6	20	1	6	12	6	20	1	1.5136979158274142	1.8884249110040576	1.5513214280332834	2.5217887247799036	0	0.055660054719562244	0.02171682626538988	0.03142099863201094	0.04882010943912449	5.984952120383037e-4
SMM0103-POW14852A3-AAGKYY3M5	NA	43849	5269	219	236	3.4287810882111756	4	5	3	4	0	4	5	3	5	0	1.0143243685692334	1.1492919029876927	1.0114042647073518	1.3208883431493221	0	0.005929439667951379	0.005678578758922666	0.0027366644621314054	0.0016419986772788432	0
SMM0104-POW14852A4-AAGKYY3M5	NA	30498	5269	193	205	3.206979218340932	4	5	8	24	0	4	6	8	27	0	0.8946546265510223	1.4655981916861642	1.5016956386866847	2.7018194604898222	0	0.09354711784379303	0.004787199160600695	0.017017509344875073	0.0552167355236409	0
SMM0105-POW14852A5-AAGKYY3M5	NA	43164	5269	280	293	4.219772333642854	5	11	4	45	0	5	11	4	45	0	0.861157765070562	1.7421903541759372	1.0378619511551186	2.7771512440107387	0	0.020456862199981465	0.020873876378463534	0.012417755537021593	0.10367435826151422	0
SMM0106-POW14852A6-AAGKYY3M5	NA	40905	5269	221	235	3.8810276964663406	3	9	4	21	0	3	9	4	24	0	0.5229547888112149	1.268050082190158	0.22599739407389804	2.7692700775070014	0	0.017895122845617895	0.02701381249236035	0.10253025302530253	0.02498472069429165	0
SMM0107-POW14852A7-AAGKYY3M5	NA	63079	5269	276	318	3.843315790293474	11	7	2	9	0	12	8	3	10	0	1.9744147945483341	1.6754716624991728	0.5004024235381879	1.9170677402257084	0	0.024144326955088065	0.00505715055723775	7.450974175240571e-4	0.003947430999223196	0
SMM0108-POW14852A8-AAGKYY3M5	NA	72220	5269	270	305	4.05761700774563	8	3	2	13	0	11	3	2	13	0	1.0209312518568228	0.3330110964801871	0.28140183959141857	2.4984339606001478	0	0.10325394627527001	0.006397119911381889	0.008211021877596234	0.005898643035170313	0
SMM0109-POW14852A9-AAGKYY3M5	NA	19142	5269	114	114	3.7303560865164447	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0.0024030926757914535	0.0012537874830216278	0.0018806812245324418	0	0
SMM0110-POW14852A10-AAGKYY3M5	NA	36242	5269	118	123	3.7047447151218607	0	3	0	0	0	0	4	0	0	0	0	0.6698932216137069	0	0	0	0	0.021439214171403344	0	0	0
SMM0111-POW14852A11-AAGKYY3M5	NA	8105	5269	100	100	3.7334284333920675	0	1	2	0	0	0	1	2	0	0	0	0	0.43849404575497475	0	0	0	0.001974090067859346	0.020727945712523135	0	0
