Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Ammonia 2.0,0.0214,mg N/L,0.021404,Sun Apr 27 22:48:44 2025,1,1
STANDARD 90,,Ammonia 2.0,0.0387,mg N/L,0.03869,Sun Apr 27 22:50:45 2025,1,1
STANDARD 91,,Ammonia 2.0,0.0696,mg N/L,0.069638,Sun Apr 27 22:52:46 2025,1,1
STANDARD 92,,Ammonia 2.0,0.1202,mg N/L,0.1202,Sun Apr 27 22:54:44 2025,1,1
STANDARD 93,,Ammonia 2.0,0.2717,mg N/L,0.271734,Sun Apr 27 22:56:43 2025,1,1
STANDARD 94,,Ammonia 2.0,0.5247,mg N/L,0.524653,Sun Apr 27 22:58:41 2025,1,1
STANDARD 95,,Ammonia 2.0,0.9548,mg N/L,0.954783,Sun Apr 27 23:00:40 2025,1,1
STANDARD 0,,Ammonia 2.0,0.0183,mg N/L,0.018284,Sun Apr 27 23:02:38 2025,1,1
C C V,,Ammonia 2.0,1.1089,mg N/L,0.549794,Sun Apr 27 23:04:37 2025,1,1
C C B ,,Ammonia 2.0,-0.019,mg N/L,0.018665,Sun Apr 27 23:06:35 2025,1,1
503X10D RR,,Ammonia 2.0,3.9024,mg N/L,0.946481,Mon Apr 28 18:21:39 2025,1,2
542,,Ammonia 2.0,3.5886,mg N/L,0.872592,Mon Apr 28 18:23:40 2025,1,2
506,,Ammonia 2.0,3.6056,mg N/L,0.876582,Mon Apr 28 16:27:22 2025,1,2
533,,Ammonia 2.0,0.8886,mg N/L,0.236834,Mon Apr 28 16:29:24 2025,1,2
539,,Ammonia 2.0,3.7152,mg N/L,0.902407,Mon Apr 28 16:31:27 2025,1,2
488,,Ammonia 2.0,2.6799,mg N/L,0.658616,Mon Apr 28 16:33:29 2025,1,2
537,,Ammonia 2.0,3.928,mg N/L,0.952497,Mon Apr 28 16:35:32 2025,1,2
516,,Ammonia 2.0,1.1164,mg N/L,0.553333,Sun Apr 27 23:22:31 2025,1,1
553,,Ammonia 2.0,2.0597,mg N/L,0.512582,Mon Apr 28 16:37:34 2025,1,2
517,,Ammonia 2.0,1.4149,mg N/L,0.360768,Mon Apr 28 16:39:36 2025,1,2
C C V,,Ammonia 2.0,1.1632,mg N/L,0.575373,Sun Apr 27 23:28:30 2025,1,1
C C B ,,Ammonia 2.0,-0.0192,mg N/L,0.018582,Sun Apr 27 23:30:29 2025,1,1
520,,Ammonia 2.0,3.3686,mg N/L,0.820788,Mon Apr 28 16:41:38 2025,1,2
519,,Ammonia 2.0,3.9301,mg N/L,0.952996,Mon Apr 28 16:43:40 2025,1,2
525,,Ammonia 2.0,3.7506,mg N/L,0.910742,Mon Apr 28 16:45:42 2025,1,2
485,,Ammonia 2.0,3.4829,mg N/L,0.847706,Mon Apr 28 18:25:42 2025,1,2
512,,Ammonia 2.0,1.7318,mg N/L,0.435393,Mon Apr 28 16:49:45 2025,1,2
543,,Ammonia 2.0,3.5889,mg N/L,0.872651,Mon Apr 28 16:51:47 2025,1,2
529,,Ammonia 2.0,3.9165,mg N/L,0.949797,Mon Apr 28 16:53:48 2025,1,2
500,,Ammonia 2.0,1.3918,mg N/L,0.683055,Sun Apr 27 23:46:26 2025,1,1
521,,Ammonia 2.0,2.5822,mg N/L,0.635618,Mon Apr 28 16:55:49 2025,1,2
528,,Ammonia 2.0,2.4255,mg N/L,0.598718,Mon Apr 28 16:57:50 2025,1,2
C C V,,Ammonia 2.0,1.1651,mg N/L,0.576271,Sun Apr 27 23:52:22 2025,1,1
C C B ,,Ammonia 2.0,-0.0109,mg N/L,0.022475,Sun Apr 27 23:54:21 2025,1,1
503,,Ammonia 2.0,2.6585,mg N/L,0.653574,Mon Apr 28 16:59:51 2025,1,2
499,,Ammonia 2.0,3.257,mg N/L,0.794499,Mon Apr 28 17:01:52 2025,1,2
522,,Ammonia 2.0,3.8005,mg N/L,0.922486,Mon Apr 28 17:03:53 2025,1,2
545,,Ammonia 2.0,3.0073,mg N/L,0.735709,Mon Apr 28 17:05:54 2025,1,2
504,,Ammonia 2.0,2.4742,mg N/L,0.610197,Mon Apr 28 17:07:56 2025,1,2
489,,Ammonia 2.0,1.8478,mg N/L,0.897796,Mon Apr 28 00:06:16 2025,1,1
534,,Ammonia 2.0,3.1629,mg N/L,0.772339,Mon Apr 28 17:09:57 2025,1,2
554,,Ammonia 2.0,3.7021,mg N/L,0.899306,Mon Apr 28 18:27:43 2025,1,2
550,,Ammonia 2.0,3.0625,mg N/L,0.748707,Mon Apr 28 17:14:00 2025,1,2
502,,Ammonia 2.0,3.6626,mg N/L,0.890012,Mon Apr 28 18:29:44 2025,1,2
C C V,,Ammonia 2.0,1.1731,mg N/L,0.580033,Mon Apr 28 00:16:07 2025,1,1
C C B ,,Ammonia 2.0,-0.0067,mg N/L,0.024447,Mon Apr 28 00:18:06 2025,1,1
486,,Ammonia 2.0,1.6745,mg N/L,0.421891,Mon Apr 28 17:18:03 2025,1,2
549,,Ammonia 2.0,2.8256,mg N/L,0.692938,Mon Apr 28 18:31:23 2025,1,2
526,,Ammonia 2.0,2.5039,mg N/L,0.617188,Mon Apr 28 18:33:02 2025,1,2
552,,Ammonia 2.0,3.8388,mg N/L,0.931491,Mon Apr 28 17:24:08 2025,1,2
501,,Ammonia 2.0,3.3499,mg N/L,0.81639,Mon Apr 28 17:26:10 2025,1,2
547,,Ammonia 2.0,3.5468,mg N/L,0.862744,Mon Apr 28 17:28:12 2025,1,2
1001,,Ammonia 2.0,2.5553,mg N/L,0.629274,Mon Apr 28 17:32:16 2025,1,2
1066,,Ammonia 2.0,2.6187,mg N/L,0.644223,Mon Apr 28 17:34:18 2025,1,2
1032,,Ammonia 2.0,2.5374,mg N/L,0.625063,Mon Apr 28 17:36:20 2025,1,2
C C V,,Ammonia 2.0,1.219,mg N/L,0.601663,Mon Apr 28 00:39:56 2025,1,1
C C B ,,Ammonia 2.0,-0.0003,mg N/L,0.027477,Mon Apr 28 00:41:55 2025,1,1
1069,,Ammonia 2.0,3.8769,mg N/L,0.940478,Mon Apr 28 17:38:22 2025,1,2
BLANKX10,,Ammonia 2.0,3.3177,mg N/L,0.808799,Mon Apr 28 17:40:25 2025,1,2
1013,,Ammonia 2.0,3.2025,mg N/L,0.781664,Mon Apr 28 17:42:27 2025,1,2
BLANKX10,,Ammonia 2.0,3.4673,mg N/L,0.844026,Mon Apr 28 17:44:29 2025,1,2
1006,,Ammonia 2.0,3.2551,mg N/L,0.794053,Mon Apr 28 17:46:31 2025,1,2
1070,,Ammonia 2.0,3.8178,mg N/L,0.926562,Mon Apr 28 17:48:33 2025,1,2
1046,,Ammonia 2.0,3.6957,mg N/L,0.897796,Mon Apr 28 17:50:12 2025,1,2
1031,,Ammonia 2.0,2.2207,mg N/L,0.5505,Mon Apr 28 18:34:40 2025,1,2
1057,,Ammonia 2.0,2.8914,mg N/L,0.708422,Mon Apr 28 17:53:29 2025,1,2
1007,,Ammonia 2.0,3.9081,mg N/L,0.947819,Mon Apr 28 18:36:19 2025,1,2
C C V,,Ammonia 2.0,1.1483,mg N/L,0.568372,Mon Apr 28 01:17:45 2025,1,1
C C B ,,Ammonia 2.0,0.0017,mg N/L,0.028426,Mon Apr 28 01:19:24 2025,1,1
