Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Ammonia 2.0,1.034,mg N/L,0.596234,Wed Apr 23 20:39:03 2025,1,1
C C B ,,Ammonia 2.0,-0.0781,mg N/L,0.062522,Wed Apr 23 20:41:02 2025,1,1
518,,Ammonia 2.0,2.4585,mg N/L,1.279822,Wed Apr 23 20:43:01 2025,1,1
544,,Ammonia 2.0,2.5255,mg N/L,1.312019,Wed Apr 23 20:44:59 2025,1,1
498,,Ammonia 2.0,2.6678,mg N/L,1.380276,Wed Apr 23 20:46:59 2025,1,1
494,,Ammonia 2.0,2.5392,mg N/L,1.318585,Wed Apr 23 20:48:59 2025,1,1
492,,Ammonia 2.0,2.6822,mg N/L,1.387175,Wed Apr 23 20:51:00 2025,1,1
531,,Ammonia 2.0,2.3775,mg N/L,1.240962,Wed Apr 23 20:52:59 2025,1,1
530,,Ammonia 2.0,2.6581,mg N/L,1.375609,Wed Apr 23 20:54:58 2025,1,1
484,,Ammonia 2.0,2.0689,mg N/L,1.092852,Wed Apr 23 20:56:57 2025,1,1
546,,Ammonia 2.0,2.414,mg N/L,1.258478,Wed Apr 23 20:58:57 2025,1,1
487,,Ammonia 2.0,2.508,mg N/L,1.303579,Wed Apr 23 21:00:56 2025,1,1
C C V,,Ammonia 2.0,1.0236,mg N/L,0.591215,Wed Apr 23 21:02:56 2025,1,1
C C B ,,Ammonia 2.0,-0.0833,mg N/L,0.060045,Wed Apr 23 21:04:55 2025,1,1
515,,Ammonia 2.0,2.3927,mg N/L,1.248258,Wed Apr 23 21:06:55 2025,1,1
497,,Ammonia 2.0,2.6556,mg N/L,1.374449,Wed Apr 23 21:08:54 2025,1,1
551,,Ammonia 2.0,2.3562,mg N/L,1.230726,Wed Apr 23 21:10:54 2025,1,1
555,,Ammonia 2.0,2.339,mg N/L,1.22249,Wed Apr 23 21:12:55 2025,1,1
507X5,,Ammonia 2.0,1.9764,mg N/L,1.048489,Wed Apr 23 21:14:55 2025,1,1
541,,Ammonia 2.0,2.547,mg N/L,1.322333,Wed Apr 23 21:16:54 2025,1,1
495,,Ammonia 2.0,2.0434,mg N/L,1.080617,Wed Apr 23 21:18:53 2025,1,1
C C V,,Ammonia 2.0,0.996,mg N/L,0.577989,Wed Apr 23 21:49:54 2025,1,1
C C B ,,Ammonia 2.0,-0.0971,mg N/L,0.053393,Wed Apr 23 21:51:52 2025,1,1
354 RR-ND,,Ammonia 2.0,0.0331,mg N/L,0.105293,Thu Apr 24 00:11:51 2025,1,3
C C V,,Ammonia 2.0,1.003,mg N/L,0.581327,Wed Apr 23 22:37:31 2025,1,1
C C B ,,Ammonia 2.0,-0.1047,mg N/L,0.049755,Wed Apr 23 22:39:31 2025,1,1
528,,Ammonia 2.0,1.8818,mg N/L,1.003086,Wed Apr 23 23:05:26 2025,1,1
C C V,,Ammonia 2.0,0.975,mg N/L,0.567885,Wed Apr 23 23:17:18 2025,1,1
C C B ,,Ammonia 2.0,-0.1101,mg N/L,0.047154,Wed Apr 23 23:18:57 2025,1,1
