Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Ammonia 2.0,1.0428,mg N/L,0.600434,Wed Apr 23 17:23:43 2025,1,1
C C B ,,Ammonia 2.0,-0.0533,mg N/L,0.074443,Wed Apr 23 17:25:42 2025,1,1
607,,Ammonia 2.0,1.2124,mg N/L,0.681815,Wed Apr 23 17:27:41 2025,1,1
623,,Ammonia 2.0,1.6125,mg N/L,0.873857,Wed Apr 23 17:29:40 2025,1,1
626,,Ammonia 2.0,1.7344,mg N/L,0.932337,Wed Apr 23 17:31:39 2025,1,1
599,,Ammonia 2.0,0.9448,mg N/L,0.553406,Wed Apr 23 17:33:40 2025,1,1
354,,Ammonia 2.0,-0.2283,mg N/L,0.063473,Wed Apr 23 20:02:31 2025,1,3
643,,Ammonia 2.0,0.9555,mg N/L,0.558563,Wed Apr 23 17:37:39 2025,1,1
606,,Ammonia 2.0,1.7645,mg N/L,0.946796,Wed Apr 23 17:39:38 2025,1,1
608,,Ammonia 2.0,0.9158,mg N/L,0.539473,Wed Apr 23 17:41:37 2025,1,1
619,,Ammonia 2.0,1.3637,mg N/L,0.754437,Wed Apr 23 17:43:37 2025,1,1
629,,Ammonia 2.0,1.3741,mg N/L,0.759417,Wed Apr 23 17:45:36 2025,1,1
C C V,,Ammonia 2.0,1.0678,mg N/L,0.612448,Wed Apr 23 17:47:36 2025,1,1
C C B ,,Ammonia 2.0,-0.0515,mg N/L,0.075305,Wed Apr 23 17:49:36 2025,1,1
621,,Ammonia 2.0,1.7901,mg N/L,0.959076,Wed Apr 23 17:51:35 2025,1,1
651,,Ammonia 2.0,1.3901,mg N/L,0.767116,Wed Apr 23 17:53:35 2025,1,1
634,,Ammonia 2.0,0.7891,mg N/L,0.47868,Wed Apr 23 17:55:34 2025,1,1
604,,Ammonia 2.0,1.0577,mg N/L,0.2692,Wed Apr 23 20:04:10 2025,1,3
637,,Ammonia 2.0,1.6134,mg N/L,0.874284,Wed Apr 23 17:59:35 2025,1,1
622,,Ammonia 2.0,1.8383,mg N/L,0.982219,Wed Apr 23 18:01:34 2025,1,1
449,,Ammonia 2.0,-0.1217,mg N/L,0.080539,Wed Apr 23 20:05:48 2025,1,3
646,,Ammonia 2.0,1.3594,mg N/L,0.752359,Wed Apr 23 18:05:32 2025,1,1
644,,Ammonia 2.0,1.6425,mg N/L,0.888228,Wed Apr 23 18:07:31 2025,1,1
624,,Ammonia 2.0,1.874,mg N/L,0.399773,Wed Apr 23 20:07:27 2025,1,3
C C V,,Ammonia 2.0,1.078,mg N/L,0.617314,Wed Apr 23 18:11:28 2025,1,1
C C B ,,Ammonia 2.0,-0.0522,mg N/L,0.074927,Wed Apr 23 18:13:27 2025,1,1
581,,Ammonia 2.0,1.8493,mg N/L,0.98749,Wed Apr 23 18:15:25 2025,1,1
631,,Ammonia 2.0,1.1297,mg N/L,0.642141,Wed Apr 23 18:17:24 2025,1,1
617,,Ammonia 2.0,1.6282,mg N/L,0.881355,Wed Apr 23 18:19:22 2025,1,1
544,,Ammonia 2.0,1.0324,mg N/L,0.595431,Wed Apr 23 18:21:23 2025,1,1
664,,Ammonia 2.0,1.601,mg N/L,0.868348,Wed Apr 23 18:25:21 2025,1,1
639,,Ammonia 2.0,0.9296,mg N/L,0.546097,Wed Apr 23 18:27:19 2025,1,1
633,,Ammonia 2.0,1.4407,mg N/L,0.791418,Wed Apr 23 18:29:17 2025,1,1
589,,Ammonia 2.0,0.7271,mg N/L,0.448941,Wed Apr 23 18:31:16 2025,1,1
400,,Ammonia 2.0,-0.1701,mg N/L,0.072793,Wed Apr 23 20:09:05 2025,1,3
C C V,,Ammonia 2.0,1.1238,mg N/L,0.639327,Wed Apr 23 18:35:12 2025,1,1
C C B ,,Ammonia 2.0,-0.047,mg N/L,0.077461,Wed Apr 23 18:37:11 2025,1,1
628,,Ammonia 2.0,1.6018,mg N/L,0.868709,Wed Apr 23 18:39:10 2025,1,1
663,,Ammonia 2.0,1.4719,mg N/L,0.806389,Wed Apr 23 18:41:08 2025,1,1
630,,Ammonia 2.0,1.6392,mg N/L,0.886656,Wed Apr 23 18:43:07 2025,1,1
597,,Ammonia 2.0,1.4212,mg N/L,0.782046,Wed Apr 23 18:45:07 2025,1,1
489,,Ammonia 2.0,1.7284,mg N/L,0.929488,Wed Apr 23 18:47:08 2025,1,1
611,,Ammonia 2.0,0.913,mg N/L,0.53815,Wed Apr 23 18:49:07 2025,1,1
540 AD10,,Ammonia 2.0,1.5656,mg N/L,0.851359,Wed Apr 23 18:51:05 2025,1,1
514,,Ammonia 2.0,1.1123,mg N/L,0.633789,Wed Apr 23 18:53:04 2025,1,1
535,,Ammonia 2.0,1.3789,mg N/L,0.761717,Wed Apr 23 18:55:03 2025,1,1
