Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Nitrate 2,0.9853,mg N/L,0.321438,Sun May 04 19:10:45 2025,1,1
C C B ,,Nitrate 2,-0.0402,mg N/L,0.013455,Sun May 04 19:12:47 2025,1,1
WTB3,,Nitrate 2,0.1708,mg N/L,0.076831,Sun May 04 19:14:50 2025,1,1
WTB1,,Nitrate 2,0.6828,mg N/L,0.230604,Sun May 04 19:16:55 2025,1,1
OJU1,,Nitrate 2,1.0465,mg N/L,0.339834,Sun May 04 19:18:59 2025,1,1
GWB3,,Nitrate 2,1.1058,mg N/L,0.357627,Sun May 04 19:21:02 2025,1,1
ACB3,,Nitrate 2,1.9262,mg N/L,0.604054,Sun May 04 19:23:05 2025,1,1
GWB2,,Nitrate 2,1.3893,mg N/L,0.442803,Sun May 04 19:25:08 2025,1,1
BDU2,,Nitrate 2,-0.0062,mg N/L,0.023644,Sun May 04 19:27:11 2025,1,1
OJB1,,Nitrate 2,0.2787,mg N/L,0.109213,Sun May 04 19:29:14 2025,1,1
ATB3,,Nitrate 2,38.2577,mg N/L,0.600047,Sun May 04 22:19:10 2025,1,20
GWU2,,Nitrate 2,0.2007,mg N/L,0.085798,Sun May 04 19:33:20 2025,1,1
C C V,,Nitrate 2,1.0634,mg N/L,0.344893,Sun May 04 19:35:23 2025,1,1
C C B ,,Nitrate 2,-0.0466,mg N/L,0.011538,Sun May 04 19:37:27 2025,1,1
WTB2,,Nitrate 2,0.3471,mg N/L,0.129777,Sun May 04 19:39:31 2025,1,1
GWU3,,Nitrate 2,0.2016,mg N/L,0.086073,Sun May 04 19:41:35 2025,1,1
ATU1,,Nitrate 2,1.282,mg N/L,0.410552,Sun May 04 19:43:40 2025,1,1
OJU2,,Nitrate 2,0.1735,mg N/L,0.077624,Sun May 04 19:45:43 2025,1,1
WTU3,,Nitrate 2,0.0745,mg N/L,0.047909,Sun May 04 19:47:47 2025,1,1
ATU2,,Nitrate 2,0.0739,mg N/L,0.047704,Sun May 04 19:49:50 2025,1,1
WTU1,,Nitrate 2,0.005,mg N/L,0.027009,Sun May 04 19:51:53 2025,1,1
WTU2,,Nitrate 2,1.3433,mg N/L,0.428984,Sun May 04 19:53:56 2025,1,1
ACU2,,Nitrate 2,0.0344,mg N/L,0.035837,Sun May 04 19:55:59 2025,1,1
GWUI,,Nitrate 2,0.5595,mg N/L,0.193574,Sun May 04 19:58:02 2025,1,1
C C V,,Nitrate 2,1.0411,mg N/L,0.338202,Sun May 04 20:00:04 2025,1,1
C C B ,,Nitrate 2,-0.0469,mg N/L,0.011422,Sun May 04 20:02:07 2025,1,1
BDU3,,Nitrate 2,-0.0263,mg N/L,0.017608,Sun May 04 20:04:10 2025,1,1
BLANK 2ND ROUND,,Nitrate 2,-0.0482,mg N/L,0.011031,Sun May 04 20:06:14 2025,1,1
GWB1,,Nitrate 2,1.8177,mg N/L,0.57146,Sun May 04 20:08:19 2025,1,1
ACB2,,Nitrate 2,0.9495,mg N/L,0.310689,Sun May 04 20:10:21 2025,1,1
WTB3,,Nitrate 2,0.1654,mg N/L,0.075201,Sun May 04 20:12:24 2025,1,1
108,,Nitrate 2,0.0773,mg N/L,0.048729,Sun May 04 20:14:26 2025,1,1
98,,Nitrate 2,0.3169,mg N/L,0.120703,Sun May 04 20:16:28 2025,1,1
99,,Nitrate 2,1.3634,mg N/L,0.435012,Sun May 04 20:18:31 2025,1,1
109,,Nitrate 2,0.4275,mg N/L,0.15393,Sun May 04 20:20:33 2025,1,1
110,,Nitrate 2,0.0002,mg N/L,0.025585,Sun May 04 20:22:35 2025,1,1
C C V,,Nitrate 2,1.0049,mg N/L,0.327334,Sun May 04 20:24:38 2025,1,1
C C B ,,Nitrate 2,-0.0473,mg N/L,0.011306,Sun May 04 20:26:40 2025,1,1
47,,Nitrate 2,0.5257,mg N/L,0.183405,Sun May 04 20:28:42 2025,1,1
103,,Nitrate 2,0.1125,mg N/L,0.059306,Sun May 04 20:30:47 2025,1,1
105,,Nitrate 2,1.8288,mg N/L,0.574787,Sun May 04 20:32:51 2025,1,1
97,,Nitrate 2,1.3973,mg N/L,0.445196,Sun May 04 20:34:54 2025,1,1
49,,Nitrate 2,0.2658,mg N/L,0.105348,Sun May 04 20:36:56 2025,1,1
BLANK 1ST ROUND,,Nitrate 2,-0.052,mg N/L,0.009904,Sun May 04 20:38:58 2025,1,1
104,,Nitrate 2,0.2881,mg N/L,0.112034,Sun May 04 20:41:00 2025,1,1
102,,Nitrate 2,0.3819,mg N/L,0.140212,Sun May 04 20:43:02 2025,1,1
52,,Nitrate 2,-0.0517,mg N/L,0.00999,Sun May 04 20:45:03 2025,1,1
96,,Nitrate 2,32.0502,mg N/L,0.506827,Sun May 04 22:20:05 2025,1,20
C C V,,Nitrate 2,1.0035,mg N/L,0.326915,Sun May 04 20:49:08 2025,1,1
C C B ,,Nitrate 2,-0.0467,mg N/L,0.011495,Sun May 04 20:51:10 2025,1,1
49,,Nitrate 2,0.3956,mg N/L,0.144343,Sun May 04 20:53:13 2025,1,1
43,,Nitrate 2,0.2317,mg N/L,0.095111,Sun May 04 20:55:18 2025,1,1
107,,Nitrate 2,0.9519,mg N/L,0.31141,Sun May 04 20:57:22 2025,1,1
51,,Nitrate 2,0.9232,mg N/L,0.302797,Sun May 04 20:59:24 2025,1,1
101,,Nitrate 2,-0.0532,mg N/L,0.009543,Sun May 04 21:01:26 2025,1,1
100,,Nitrate 2,0.3026,mg N/L,0.116402,Sun May 04 21:03:29 2025,1,1
45,,Nitrate 2,0.0854,mg N/L,0.051183,Sun May 04 21:05:31 2025,1,1
106,,Nitrate 2,0.0565,mg N/L,0.042476,Sun May 04 21:07:33 2025,1,1
44,,Nitrate 2,1.4413,mg N/L,0.458412,Sun May 04 21:09:36 2025,1,1
50,,Nitrate 2,1.7461,mg N/L,0.549963,Sun May 04 21:11:39 2025,1,1
