Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Nitrate 2,0.9952,mg N/L,0.324436,Sun May 04 23:09:18 2025,1,1
C C B ,,Nitrate 2,-0.05,mg N/L,0.010511,Sun May 04 23:11:21 2025,1,1
SOL-653,,Nitrate 2,71.3965,mg N/L,0.754604,Mon May 05 17:33:15 2025,1,29.41
658,,Nitrate 2,41.4647,mg N/L,0.448948,Mon May 05 17:34:09 2025,1,29.41
600,,Nitrate 2,1.7207,mg N/L,0.542322,Sun May 04 23:56:35 2025,1,1
C C V,,Nitrate 2,1.0891,mg N/L,0.352641,Sun May 04 23:58:38 2025,1,1
C C B ,,Nitrate 2,-0.0459,mg N/L,0.011726,Mon May 05 00:00:41 2025,1,1
565,,Nitrate 2,0.1499,mg N/L,0.070545,Mon May 05 00:02:44 2025,1,1
615,,Nitrate 2,0.2986,mg N/L,0.115205,Mon May 05 00:04:48 2025,1,1
642,,Nitrate 2,79.8279,mg N/L,0.840704,Mon May 05 17:35:04 2025,1,29.41
558,,Nitrate 2,0.1122,mg N/L,0.059225,Mon May 05 00:08:55 2025,1,1
653,,Nitrate 2,70.9823,mg N/L,0.750375,Mon May 05 17:35:58 2025,1,29.41
567,,Nitrate 2,0.0559,mg N/L,0.042305,Mon May 05 00:13:00 2025,1,1
569,,Nitrate 2,0.093,mg N/L,0.053458,Mon May 05 00:15:03 2025,1,1
616,,Nitrate 2,0.99,mg N/L,0.32286,Mon May 05 00:17:05 2025,1,1
614,,Nitrate 2,1.2997,mg N/L,0.415886,Mon May 05 00:19:07 2025,1,1
665,,Nitrate 2,-0.0275,mg N/L,0.017255,Mon May 05 00:21:10 2025,1,1
C C V,,Nitrate 2,1.0654,mg N/L,0.345518,Mon May 05 00:23:12 2025,1,1
C C B ,,Nitrate 2,-0.0311,mg N/L,0.01617,Mon May 05 00:25:14 2025,1,1
636,,Nitrate 2,74.0367,mg N/L,0.781565,Mon May 05 17:36:53 2025,1,29.41
654,,Nitrate 2,77.0306,mg N/L,0.812138,Mon May 05 17:37:47 2025,1,29.41
573,,Nitrate 2,-0.007,mg N/L,0.023406,Mon May 05 00:31:26 2025,1,1
638,,Nitrate 2,70.9823,mg N/L,0.750375,Mon May 05 17:38:42 2025,1,29.41
590,,Nitrate 2,0.9815,mg N/L,0.320316,Mon May 05 00:35:30 2025,1,1
572,,Nitrate 2,-0.0267,mg N/L,0.017505,Mon May 05 00:37:32 2025,1,1
625,,Nitrate 2,0.0355,mg N/L,0.036189,Mon May 05 00:39:34 2025,1,1
660,,Nitrate 2,-0.0157,mg N/L,0.020793,Mon May 05 00:41:36 2025,1,1
559,,Nitrate 2,0.002,mg N/L,0.026124,Mon May 05 00:43:38 2025,1,1
641,,Nitrate 2,5.7188,mg N/L,0.599205,Mon May 05 17:03:53 2025,1,2.99
C C V,,Nitrate 2,1.1028,mg N/L,0.356728,Mon May 05 00:47:43 2025,1,1
C C B ,,Nitrate 2,-0.042,mg N/L,0.012902,Mon May 05 00:49:46 2025,1,1
613,,Nitrate 2,0.2488,mg N/L,0.100253,Mon May 05 00:51:48 2025,1,1
620,,Nitrate 2,-0.0318,mg N/L,0.015965,Mon May 05 00:53:53 2025,1,1
353,,Nitrate 2,4.2827,mg N/L,0.455141,Mon May 05 17:04:47 2025,1,2.99
594,,Nitrate 2,0.702,mg N/L,0.236377,Mon May 05 00:58:00 2025,1,1
575,,Nitrate 2,-0.0338,mg N/L,0.01538,Mon May 05 01:00:02 2025,1,1
420X300DIL,,Nitrate 2,-0.0129,mg N/L,0.021637,Mon May 05 01:02:04 2025,1,1
259,,Nitrate 2,-0.0503,mg N/L,0.010424,Mon May 05 01:04:06 2025,1,1
648,,Nitrate 2,0.2655,mg N/L,0.105276,Mon May 05 01:06:09 2025,1,1
609,,Nitrate 2,0.2159,mg N/L,0.090377,Mon May 05 01:08:11 2025,1,1
135,,Nitrate 2,0.8651,mg N/L,0.285359,Mon May 05 01:10:14 2025,1,1
C C V,,Nitrate 2,1.0232,mg N/L,0.332825,Mon May 05 01:12:19 2025,1,1
C C B ,,Nitrate 2,-0.047,mg N/L,0.011408,Mon May 05 01:14:24 2025,1,1
269,,Nitrate 2,0.1169,mg N/L,0.060634,Mon May 05 01:15:19 2025,1,1
593,,Nitrate 2,0.8957,mg N/L,0.294546,Mon May 05 01:16:13 2025,1,1
645,,Nitrate 2,0.0342,mg N/L,0.035791,Mon May 05 01:17:08 2025,1,1
139,,Nitrate 2,-0.0341,mg N/L,0.015263,Mon May 05 01:18:02 2025,1,1
601,,Nitrate 2,0.4473,mg N/L,0.159862,Mon May 05 01:18:57 2025,1,1
566,,Nitrate 2,0.028,mg N/L,0.033926,Mon May 05 01:19:52 2025,1,1
653,,Nitrate 2,71.9895,mg N/L,0.76066,Mon May 05 17:39:36 2025,1,29.41
C C V,,Nitrate 2,1.0584,mg N/L,0.343397,Mon May 05 01:21:41 2025,1,1
C C B ,,Nitrate 2,-0.0484,mg N/L,0.010988,Mon May 05 01:22:36 2025,1,1
CCV,,Nitrate 2,1.0469,mg N/L,0.339958,Mon May 05 01:42:52 2025,1,1
CCB,,Nitrate 2,-0.0463,mg N/L,0.011625,Mon May 05 01:44:57 2025,1,1
CCV,,Nitrate 2,1.0643,mg N/L,0.345174,Mon May 05 01:58:29 2025,1,1
CCB,,Nitrate 2,-0.0429,mg N/L,0.012626,Mon May 05 01:59:24 2025,1,1
CCV,,Nitrate 2,1.0491,mg N/L,0.340606,Mon May 05 16:50:59 2025,1,1
CCB,,Nitrate 2,-0.0333,mg N/L,0.015526,Mon May 05 16:53:04 2025,1,1
