Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Nitrate 2,0.9893,mg N/L,0.281889,Mon May 05 20:53:50 2025,1,1
C C B ,,Nitrate 2,-0.0273,mg N/L,0.011075,Mon May 05 20:55:53 2025,1,1
634,,Nitrate 2,0.0112,mg N/L,0.021326,Mon May 05 20:57:56 2025,1,1
608,,Nitrate 2,0.0089,mg N/L,0.020719,Mon May 05 21:00:00 2025,1,1
643,,Nitrate 2,-0.0096,mg N/L,0.01579,Mon May 05 21:02:05 2025,1,1
589,,Nitrate 2,0.0949,mg N/L,0.043629,Mon May 05 21:04:08 2025,1,1
489,,Nitrate 2,-0.0159,mg N/L,0.01411,Mon May 05 21:06:10 2025,1,1
622,,Nitrate 2,-0.0116,mg N/L,0.015263,Mon May 05 21:08:13 2025,1,1
624,,Nitrate 2,0.0161,mg N/L,0.022647,Mon May 05 21:10:16 2025,1,1
651,,Nitrate 2,0.5141,mg N/L,0.155299,Mon May 05 21:12:19 2025,1,1
607,,Nitrate 2,1.2763,mg N/L,0.358335,Mon May 05 21:14:22 2025,1,1
639,,Nitrate 2,3.3888,mg N/L,0.921021,Mon May 05 21:16:25 2025,1,1
C C V,,Nitrate 2,0.9872,mg N/L,0.281322,Mon May 05 21:18:29 2025,1,1
C C B ,,Nitrate 2,-0.0179,mg N/L,0.0136,Mon May 05 21:20:32 2025,1,1
646,,Nitrate 2,0.0248,mg N/L,0.024972,Mon May 05 21:22:36 2025,1,1
637,,Nitrate 2,1.3246,mg N/L,0.371177,Mon May 05 21:24:40 2025,1,1
604,,Nitrate 2,0.9509,mg N/L,0.271642,Mon May 05 21:26:45 2025,1,1
664,,Nitrate 2,0.0113,mg N/L,0.021356,Mon May 05 21:28:48 2025,1,1
400,,Nitrate 2,-0.0298,mg N/L,0.010424,Mon May 05 21:30:52 2025,1,1
544X2D,,Nitrate 2,0.4381,mg N/L,0.135059,Mon May 05 21:32:55 2025,1,1
621,,Nitrate 2,-0.0272,mg N/L,0.011118,Mon May 05 21:34:58 2025,1,1
629,,Nitrate 2,0.26,mg N/L,0.087607,Mon May 05 21:37:01 2025,1,1
619,,Nitrate 2,0.1021,mg N/L,0.045552,Mon May 05 21:39:04 2025,1,1
626,,Nitrate 2,0.3408,mg N/L,0.10914,Mon May 05 21:41:06 2025,1,1
C C V,,Nitrate 2,0.9896,mg N/L,0.281943,Mon May 05 21:43:09 2025,1,1
C C B ,,Nitrate 2,-0.0267,mg N/L,0.011234,Mon May 05 21:45:12 2025,1,1
354,,Nitrate 2,-0.0277,mg N/L,0.010973,Mon May 05 21:47:15 2025,1,1
631,,Nitrate 2,-0.013,mg N/L,0.014883,Mon May 05 21:49:19 2025,1,1
599,,Nitrate 2,2.0802,mg N/L,0.572461,Mon May 05 21:51:24 2025,1,1
623,,Nitrate 2,0.0838,mg N/L,0.040675,Mon May 05 21:53:26 2025,1,1
644,,Nitrate 2,0.0851,mg N/L,0.041016,Mon May 05 21:55:29 2025,1,1
606,,Nitrate 2,0.0218,mg N/L,0.024166,Mon May 05 21:57:31 2025,1,1
581,,Nitrate 2,0.1865,mg N/L,0.068046,Mon May 05 21:59:34 2025,1,1
617,,Nitrate 2,0.1015,mg N/L,0.04538,Mon May 05 22:01:36 2025,1,1
663,,Nitrate 2,-0.0204,mg N/L,0.012917,Mon May 05 22:03:38 2025,1,1
628,,Nitrate 2,-0.0083,mg N/L,0.016141,Mon May 05 22:05:40 2025,1,1
C C V,,Nitrate 2,0.9629,mg N/L,0.274845,Mon May 05 22:07:42 2025,1,1
C C B ,,Nitrate 2,-0.0286,mg N/L,0.010727,Mon May 05 22:09:45 2025,1,1
597,,Nitrate 2,0.1113,mg N/L,0.048004,Mon May 05 22:11:47 2025,1,1
630,,Nitrate 2,0.1605,mg N/L,0.061121,Mon May 05 22:13:52 2025,1,1
611,,Nitrate 2,0.5296,mg N/L,0.159414,Mon May 05 22:15:56 2025,1,1
633,,Nitrate 2,0.2719,mg N/L,0.090777,Mon May 05 22:17:59 2025,1,1
