Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Nitrate 2,1.0417,mg N/L,0.2871,Tue May 06 17:40:37 2025,1,1
C C B ,,Nitrate 2,-0.0316,mg N/L,0.013825,Tue May 06 17:42:40 2025,1,1
1058,,Nitrate 2,-0.0428,mg N/L,0.010976,Tue May 06 17:44:43 2025,1,1
1068,,Nitrate 2,-0.0323,mg N/L,0.013665,Tue May 06 17:46:47 2025,1,1
1067,,Nitrate 2,-0.0415,mg N/L,0.011322,Tue May 06 17:48:52 2025,1,1
1046,,Nitrate 2,-0.0393,mg N/L,0.011885,Tue May 06 17:50:54 2025,1,1
1035,,Nitrate 2,-0.0414,mg N/L,0.011336,Tue May 06 17:52:57 2025,1,1
1038,,Nitrate 2,-0.0395,mg N/L,0.011827,Tue May 06 17:55:00 2025,1,1
1059,,Nitrate 2,-0.0397,mg N/L,0.011769,Tue May 06 17:57:03 2025,1,1
1041,,Nitrate 2,-0.0405,mg N/L,0.011581,Tue May 06 17:59:06 2025,1,1
1057,,Nitrate 2,-0.04,mg N/L,0.011697,Tue May 06 18:01:09 2025,1,1
1056,,Nitrate 2,-0.0389,mg N/L,0.011971,Tue May 06 18:03:12 2025,1,1
C C V,,Nitrate 2,1.063,mg N/L,0.292525,Tue May 06 18:05:16 2025,1,1
C C B ,,Nitrate 2,-0.0296,mg N/L,0.014348,Tue May 06 18:07:19 2025,1,1
1066,,Nitrate 2,-0.04,mg N/L,0.011697,Tue May 06 18:09:23 2025,1,1
1054,,Nitrate 2,-0.0393,mg N/L,0.011885,Tue May 06 18:11:28 2025,1,1
1057,,Nitrate 2,-0.0405,mg N/L,0.011567,Tue May 06 18:13:32 2025,1,1
1028,,Nitrate 2,-0.0384,mg N/L,0.012116,Tue May 06 18:15:35 2025,1,1
1003,,Nitrate 2,-0.034,mg N/L,0.01323,Tue May 06 18:17:39 2025,1,1
1025,,Nitrate 2,-0.041,mg N/L,0.011452,Tue May 06 18:19:42 2025,1,1
1065,,Nitrate 2,-0.0398,mg N/L,0.01174,Tue May 06 18:21:45 2025,1,1
1036,,Nitrate 2,-0.0394,mg N/L,0.011856,Tue May 06 18:23:48 2025,1,1
1004,,Nitrate 2,-0.0405,mg N/L,0.011581,Tue May 06 18:25:51 2025,1,1
1002,,Nitrate 2,-0.03,mg N/L,0.014246,Tue May 06 18:27:54 2025,1,1
C C V,,Nitrate 2,1.0417,mg N/L,0.2871,Tue May 06 18:29:56 2025,1,1
C C B ,,Nitrate 2,-0.0286,mg N/L,0.014595,Tue May 06 18:31:59 2025,1,1
