Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Nitrate 2,1.153,mg N/L,0.214947,Wed May 07 22:16:26 2025,1,1
C C B ,,Nitrate 2,-0.013,mg N/L,0.007998,Wed May 07 22:18:28 2025,1,1
459X100D,,Nitrate 2,2.7601,mg N/L,0.255244,Thu May 08 00:48:28 2025,1,2
639X100D,,Nitrate 2,3.0963,mg N/L,0.285079,Thu May 08 00:49:23 2025,1,2
466-655X100D,,Nitrate 2,1.5601,mg N/L,0.287196,Wed May 07 22:24:40 2025,1,1
479-652X100D,,Nitrate 2,1.7482,mg N/L,0.320585,Wed May 07 22:26:43 2025,1,1
642X100D,,Nitrate 2,1.7574,mg N/L,0.322225,Wed May 07 22:28:46 2025,1,1
657X100D,,Nitrate 2,2.2806,mg N/L,0.212689,Thu May 08 00:50:17 2025,1,2
654X100D,,Nitrate 2,1.5429,mg N/L,0.284148,Wed May 07 22:32:52 2025,1,1
C C V,,Nitrate 2,1.1833,mg N/L,0.220324,Wed May 07 22:41:04 2025,1,1
C C B ,,Nitrate 2,-0.0121,mg N/L,0.008157,Wed May 07 22:43:08 2025,1,1
