Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil,
STANDARD 1,,Nitrate 2,0.0106,mg N/L,0.01061,Tue May 13 18:59:25 2025,1,1,
STANDARD 90,,Nitrate 2,0.0242,mg N/L,0.024164,Tue May 13 19:01:28 2025,1,1,
STANDARD 91,,Nitrate 2,0.0434,mg N/L,0.043392,Tue May 13 19:03:30 2025,1,1,
STANDARD 92,,Nitrate 2,0.0727,mg N/L,0.072697,Tue May 13 19:05:32 2025,1,1,
STANDARD 93,,Nitrate 2,0.1677,mg N/L,0.16768,Tue May 13 19:07:35 2025,1,1,
STANDARD 94,,Nitrate 2,0.3102,mg N/L,0.310157,Tue May 13 19:09:37 2025,1,1,
STANDARD 95,,Nitrate 2,0.5391,mg N/L,0.539121,Tue May 13 19:11:40 2025,1,1,
STANDARD 0,,Nitrate 2,0.0116,mg N/L,0.011627,Tue May 13 19:13:42 2025,1,1,
C C V,,Nitrate 2,1.0293,mg N/L,0.294942,Tue May 13 19:15:45 2025,1,1,
C C B ,,Nitrate 2,-0.036,mg N/L,0.011052,Tue May 13 19:17:47 2025,1,1,
MQ WATER,,Nitrate 2,-0.0372,mg N/L,0.010728,Tue May 13 19:19:50 2025,1,1,
5PPM,,Nitrate 2,5.1857,mg N/L,0.482205,Tue May 13 21:44:46 2025,1,2.99,
505,,Nitrate 2,-0.0379,mg N/L,0.010537,Tue May 13 19:23:59 2025,1,1,
504,,Nitrate 2,-0.0431,mg N/L,0.009156,Tue May 13 19:26:02 2025,1,1,
503,,Nitrate 2,-0.0438,mg N/L,0.008965,Tue May 13 19:28:04 2025,1,1,
502,,Nitrate 2,-0.0445,mg N/L,0.008775,Tue May 13 19:30:07 2025,1,1,
501,,Nitrate 2,-0.0442,mg N/L,0.008863,Tue May 13 19:32:10 2025,1,1,
500,,Nitrate 2,-0.045,mg N/L,0.008658,Tue May 13 19:34:13 2025,1,1,
499,,Nitrate 2,-0.0429,mg N/L,0.0092,Tue May 13 19:36:16 2025,1,1,
498,,Nitrate 2,-0.0377,mg N/L,0.01061,Tue May 13 19:38:19 2025,1,1,
C C V,,Nitrate 2,1.0433,mg N/L,0.298667,Tue May 13 19:40:22 2025,1,1,
C C B ,,Nitrate 2,-0.0362,mg N/L,0.010993,Tue May 13 19:42:26 2025,1,1,
