Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Nitrate 2,0.0088,mg N/L,0.008817,Wed May 14 17:27:07 2025,1,1
STANDARD 90,,Nitrate 2,0.0211,mg N/L,0.021108,Wed May 14 17:29:09 2025,1,1
STANDARD 91,,Nitrate 2,0.0385,mg N/L,0.038548,Wed May 14 17:31:12 2025,1,1
STANDARD 92,,Nitrate 2,0.0638,mg N/L,0.063784,Wed May 14 17:33:14 2025,1,1
STANDARD 93,,Nitrate 2,0.1405,mg N/L,0.14047,Wed May 14 17:35:16 2025,1,1
STANDARD 94,,Nitrate 2,0.265,mg N/L,0.264981,Wed May 14 17:37:19 2025,1,1
STANDARD 95,,Nitrate 2,0.4754,mg N/L,0.475436,Wed May 14 17:39:21 2025,1,1
STANDARD 0,,Nitrate 2,0.0096,mg N/L,0.009606,Wed May 14 17:41:24 2025,1,1
C C V,,Nitrate 2,1.0695,mg N/L,0.266643,Wed May 14 17:43:26 2025,1,1
C C B ,,Nitrate 2,-0.0335,mg N/L,0.00851,Wed May 14 17:45:29 2025,1,1
top std,,Nitrate 2,2.3778,mg N/L,0.202215,Wed May 14 19:53:04 2025,1,2.99
1008,,Nitrate 2,-0.0358,mg N/L,0.007971,Wed May 14 17:49:36 2025,1,1
1007,,Nitrate 2,-0.0276,mg N/L,0.009884,Wed May 14 17:51:41 2025,1,1
1006,,Nitrate 2,-0.0405,mg N/L,0.006865,Wed May 14 17:53:43 2025,1,1
1005,,Nitrate 2,-0.0407,mg N/L,0.006836,Wed May 14 17:55:46 2025,1,1
1004,,Nitrate 2,-0.0421,mg N/L,0.006501,Wed May 14 17:57:49 2025,1,1
1003,,Nitrate 2,-0.0242,mg N/L,0.01069,Wed May 14 17:59:51 2025,1,1
1002,,Nitrate 2,-0.014,mg N/L,0.013072,Wed May 14 18:01:54 2025,1,1
1001,,Nitrate 2,-0.0405,mg N/L,0.006879,Wed May 14 18:03:57 2025,1,1
1016,,Nitrate 2,-0.043,mg N/L,0.006284,Wed May 14 18:06:00 2025,1,1
C C V,,Nitrate 2,1.1311,mg N/L,0.281078,Wed May 14 18:08:03 2025,1,1
C C B ,,Nitrate 2,-0.0269,mg N/L,0.010045,Wed May 14 18:10:07 2025,1,1
1015,,Nitrate 2,-0.0436,mg N/L,0.006138,Wed May 14 18:12:10 2025,1,1
1014,,Nitrate 2,-0.0437,mg N/L,0.006124,Wed May 14 18:14:15 2025,1,1
1013,,Nitrate 2,-0.0436,mg N/L,0.006138,Wed May 14 18:16:20 2025,1,1
1012,,Nitrate 2,-0.0406,mg N/L,0.00685,Wed May 14 18:18:23 2025,1,1
1011,,Nitrate 2,-0.0418,mg N/L,0.006559,Wed May 14 18:20:26 2025,1,1
1010,,Nitrate 2,-0.0425,mg N/L,0.006414,Wed May 14 18:22:30 2025,1,1
1009,,Nitrate 2,-0.0442,mg N/L,0.006008,Wed May 14 18:24:33 2025,1,1
1024,,Nitrate 2,-0.0423,mg N/L,0.006443,Wed May 14 18:26:36 2025,1,1
1023,,Nitrate 2,-0.0443,mg N/L,0.005993,Wed May 14 18:28:39 2025,1,1
1022,,Nitrate 2,-0.0451,mg N/L,0.00579,Wed May 14 18:30:42 2025,1,1
C C V,,Nitrate 2,1.1646,mg N/L,0.28891,Wed May 14 18:32:45 2025,1,1
C C B ,,Nitrate 2,-0.0341,mg N/L,0.008379,Wed May 14 18:34:48 2025,1,1
1021,,Nitrate 2,-0.0433,mg N/L,0.006211,Wed May 14 18:36:51 2025,1,1
1020,,Nitrate 2,-0.0439,mg N/L,0.006066,Wed May 14 18:38:56 2025,1,1
1019,,Nitrate 2,-0.0431,mg N/L,0.006269,Wed May 14 18:41:00 2025,1,1
1018,,Nitrate 2,-0.0446,mg N/L,0.005921,Wed May 14 18:43:03 2025,1,1
1044,,Nitrate 2,-0.0441,mg N/L,0.006037,Wed May 14 18:45:06 2025,1,1
1033,,Nitrate 2,-0.0442,mg N/L,0.006008,Wed May 14 18:47:08 2025,1,1
1032,,Nitrate 2,-0.0393,mg N/L,0.007141,Wed May 14 18:49:11 2025,1,1
1031,,Nitrate 2,-0.0447,mg N/L,0.005877,Wed May 14 18:51:13 2025,1,1
1030,,Nitrate 2,-0.0421,mg N/L,0.006487,Wed May 14 18:53:16 2025,1,1
1029,,Nitrate 2,-0.0425,mg N/L,0.006414,Wed May 14 18:55:18 2025,1,1
C C V,,Nitrate 2,1.1093,mg N/L,0.27597,Wed May 14 18:57:20 2025,1,1
C C B ,,Nitrate 2,-0.0337,mg N/L,0.008467,Wed May 14 18:59:23 2025,1,1
1028,,Nitrate 2,-0.0442,mg N/L,0.006008,Wed May 14 19:01:26 2025,1,1
1027,,Nitrate 2,-0.0404,mg N/L,0.006894,Wed May 14 19:03:31 2025,1,1
1026,,Nitrate 2,-0.0436,mg N/L,0.006138,Wed May 14 19:05:35 2025,1,1
1042,,Nitrate 2,-0.044,mg N/L,0.006051,Wed May 14 19:07:37 2025,1,1
1041,,Nitrate 2,-0.045,mg N/L,0.005819,Wed May 14 19:09:39 2025,1,1
1040,,Nitrate 2,-0.0436,mg N/L,0.006153,Wed May 14 19:11:41 2025,1,1
1038,,Nitrate 2,-0.0441,mg N/L,0.006022,Wed May 14 19:13:43 2025,1,1
1037,,Nitrate 2,-0.043,mg N/L,0.006298,Wed May 14 19:15:46 2025,1,1
1036,,Nitrate 2,-0.0424,mg N/L,0.006429,Wed May 14 19:17:48 2025,1,1
1035,,Nitrate 2,-0.0418,mg N/L,0.006559,Wed May 14 19:19:49 2025,1,1
C C V,,Nitrate 2,1.1063,mg N/L,0.275268,Wed May 14 19:21:51 2025,1,1
C C B ,,Nitrate 2,-0.0337,mg N/L,0.008467,Wed May 14 19:23:54 2025,1,1
1017,,Nitrate 2,-0.0437,mg N/L,0.006124,Wed May 14 19:26:00 2025,1,1
blank,,Nitrate 2,-0.0416,mg N/L,0.006603,Wed May 14 19:28:04 2025,1,1
blank,,Nitrate 2,-0.0449,mg N/L,0.005834,Wed May 14 19:28:58 2025,1,1
1048,,Nitrate 2,-0.0472,mg N/L,0.005298,Wed May 14 19:29:53 2025,1,1
1047,,Nitrate 2,-0.0435,mg N/L,0.006167,Wed May 14 19:30:47 2025,1,1
1046,,Nitrate 2,-0.0477,mg N/L,0.005196,Wed May 14 19:31:42 2025,1,1
1045,,Nitrate 2,-0.0397,mg N/L,0.007068,Wed May 14 19:32:36 2025,1,1
1043,,Nitrate 2,-0.0495,mg N/L,0.004762,Wed May 14 19:33:31 2025,1,1
1034,,Nitrate 2,-0.0494,mg N/L,0.004791,Wed May 14 19:34:25 2025,1,1
C C V,,Nitrate 2,1.1473,mg N/L,0.284866,Wed May 14 19:35:20 2025,1,1
C C B ,,Nitrate 2,-0.0402,mg N/L,0.006937,Wed May 14 19:36:15 2025,1,1
CCV,,Nitrate 2,1.1582,mg N/L,0.28741,Wed May 14 19:51:14 2025,1,1
CCB,,Nitrate 2,-0.0368,mg N/L,0.007738,Wed May 14 19:52:09 2025,1,1
