Site,Plot,reads_samp,Fire_Treatment,Tube,weight_mg,Sample_Type,Samplename_ITS,sample_num,barcode,OTU,count,resampled_count,resampled_date,kingdom,phylum,class,order,family,genus,species,n,score,SH_species,SH_gb_acc,SH_sh_acc,SH_type,identity,coverage,trophicMode,guild,confidenceRanking,growthForm,trait,notes,citationSource,unite_db_version,date_assigned,qbit_DNA_conc_ng_uL,guild2,exploration_type,Ecm_lineage,myco_reads,burn_reads,RA_samp,RA_total_reads,RA_total_Burn
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUa_2566,247,9,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,1,1,Rhizophagus_sp,AY627803,SH1168492.08FU,reps_singleton,0.995215311004785,1,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:28:58 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,0.01743365330321852,3.227264768982719e-4,0.0010113210637296046
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUa_13,7158,227,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,14,0.933333333333333,Laccaria_sp,GQ921752,SH1553078.08FU,reps,0.990243902439024,1,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,Ectomycorrhizal,short-distance_delicate,/laccaria,765354,244235,0.5052230378317335,0.009352534905416317,0.02930783876184822
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUb_427,19,1,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,14,0.933333333333333,Laccaria_sp,GQ921752,SH1553078.08FU,reps,0.990243902439024,1,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,Ectomycorrhizal,short-distance_delicate,/laccaria,765354,244235,0.0013410502540937323,2.482511360755938e-5,7.779392797920036e-5
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUa_90,224,10,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA,2,1,Tomentella_sp,DQ672323,SH1528514.08FU,reps,0.977168949771689,1,Symbiotroph,Ectomycorrhizal,Highly Probable,Corticioid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,Ectomycorrhizal,medium-distance_smooth,/tomentella-thelephora,765354,244235,0.015810276679841896,2.926750235838579e-4,9.171494667021517e-4
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUc_718,117,4,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,5,1,Glomeromycota_sp,MG664506,SH3565331.08FU,reps_singleton,0.909090909090909,0.989304812834225,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,0.008258046301524562,1.5287043642549721e-4,4.790468196613917e-4
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUd_1875,24,1,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA,1,1,Inocybe_sp,UDB0612393,SH2617408.08FU,reps_singleton,0.954314720812183,0.984771573604061,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,Sensu stricto (Matheny 2009).,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,Ectomycorrhizal,short-distance_delicate,/inocybe,765354,244235,0.0016939582156973462,3.135803824112764e-5,9.826601428951625e-5
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUm_14021,53,3,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,5,1,Glomeromycetes_sp,KY965410,SH1152253.08FU,reps_singleton,0.904255319148936,0.98936170212766,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 15:55:31 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,0.003740824392998306,6.924900111582353e-5,2.1700411488934839e-4
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUf_598,23,0,NA,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,Gigaspora_margarita,2,1,Gigaspora_margarita,FN547565,SH1543462.08FU,refs,0.994252873563218,1,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,0.0016233766233766235,3.0051453314413985e-5,9.417159702745307e-5
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUb_9,16,0,NA,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,Gigaspora_margarita,1,1,Gigaspora_margarita,HF968909,SH1543464.08FU,reps,1,1,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:44 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,0.001129305477131564,2.0905358827418422e-5,6.551067619301083e-5
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUa_56,126,6,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,NA,6,1,Gigaspora_margarita,AJ006847,SH1543463.08FU,reps,0.982857142857143,0.994285714285714,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:16 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,0.008893280632411068,1.6462970076592008e-4,5.158965750199603e-4
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUf_2048,19,0,NA,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,NA,6,1,Gigaspora_margarita,AF162455,SH2588154.08FU,reps_singleton,0.977142857142857,0.988571428571429,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:44 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,0.0013410502540937323,2.482511360755938e-5,7.779392797920036e-5
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUf_830,11,0,NA,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,NA,2,1,Gigaspora_margarita,FN547565,SH1543462.08FU,refs,0.971590909090909,0.988636363636364,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:16 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,7.763975155279503e-4,1.4372434193850166e-5,4.503858988269495e-5
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUf_1031,90,5,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,20,1,Glomeromycota_sp,KJ484706,SH1570975.08FU,reps,0.870646766169154,0.940298507462687,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,0.006352343308865048,1.1759264340422863e-4,3.6849755358568594e-4
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUa_1273,199,5,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,16,1,Glomeromycota_sp,KJ484706,SH1570975.08FU,reps,0.873096446700508,0.944162436548223,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:44 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,0.014045736871823828,2.6001040041601667e-4,8.147890351505722e-4
NSMSEQCasWoo01,NSS01,14168,U,1,0.385,Hyphae,SMM0213,213,SMM0213-POW14852A113-AAGKYY3M5,ITSall_OTUa_1513,46,1,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,13,1,Glomeromycota_sp,KJ484706,SH1570975.08FU,reps,0.858536585365854,0.921951219512195,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,Arbuscular Mycorrhizal,NA,NA,765354,244235,0.003246753246753247,6.010290662882797e-5,1.8834319405490615e-4
