Site,Plot,reads_samp,Fire_Treatment,Tube,weight_mg,Sample_Type,Samplename_ITS,sample_num,barcode,OTU,count,resampled_count,resampled_date,kingdom,phylum,class,order,family,genus,species,n,score,SH_species,SH_gb_acc,SH_sh_acc,SH_type,identity,coverage,trophicMode,guild,confidenceRanking,growthForm,trait,notes,citationSource,unite_db_version,date_assigned,qbit_DNA_conc_ng_uL,guild2,exploration_type,Ecm_lineage,myco_reads,burn_reads,RA_samp,RA_total_reads,RA_total_Burn
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_13,9170,628,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,14,0.933333333333333,Laccaria_sp,GQ921752,SH1553078.08FU,reps,0.990243902439024,1,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,EctoMycorrhizal,short-distance_delicate,/laccaria,317180,112731,0.48469792272318835,0.02891102843811085,0.08134408459075143
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_1016,302,24,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,12,1,Laccaria_alba,UDB0780063,SH1553074.08FU,reps,0.970731707317073,1,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,EctoMycorrhizal,short-distance_delicate,/laccaria,317180,112731,0.01596278873090544,9.521407402736617e-4,0.0026789436800879972
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUb_427,17,1,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,NA,14,0.933333333333333,Laccaria_sp,GQ921752,SH1553078.08FU,reps,0.990243902439024,1,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,EctoMycorrhizal,short-distance_delicate,/laccaria,317180,112731,8.985675775675247e-4,5.3597326439245856e-5,1.5080146543541706e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_1011,44,3,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,42,1,Glomus_sp,UDB0101045,SH1560422.08FU,reps,0.895287958115183,0.979057591623037,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:44 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.002325704318410064,1.3872249196040102e-4,3.9030967524460885e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_151,11,0,NA,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA,2,1,Tomentella_sp,UDB003341,SH1502301.08FU,refs,0.981651376146789,1,Symbiotroph,Ectomycorrhizal,Highly Probable,Corticioid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,EctoMycorrhizal,medium-distance_smooth,/tomentella-thelephora,317180,112731,5.81426079602516e-4,3.4680622990100256e-5,9.757741881115221e-5
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_666,14,0,NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,NA,1,1,Cortinarius_orixanthus,JX000367,SH1503938.08FU,refs,0.946601941747573,0.990291262135922,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,EctoMycorrhizal,medium-distance_fringe,/cortinarius,317180,112731,7.399968285850204e-4,4.413897471467306e-5,1.2418944212328462e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUb_152,35,1,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,43,1,Glomeromycota_sp,KM208145,SH1549811.08FU,reps,0.901554404145078,0.968911917098446,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:28:58 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.001849992071462551,1.1034743678668263e-4,3.1047360530821156e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUc_54,41,7,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,43,1,Glomeromycota_sp,KM208145,SH1549811.08FU,reps,0.887179487179487,0.958974358974359,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:16 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.0021671335694275597,1.2926414023582824e-4,3.6369765193247644e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUc_95,60,5,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,1,1,Glomeromycota_sp,KM208145,SH1549811.08FU,reps,0.911458333333333,0.979166666666667,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.003171414979650087,1.8916703449145596e-4,5.322404662426485e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_1125,47,6,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,42,1,Glomus_sp,UDB0101045,SH1560422.08FU,reps,0.87434554973822,0.979057591623037,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.0024842750673925683,1.4818084368497383e-4,4.1692169855674126e-4
